resolved,t1,t2,t3,occurrences,players,events,current_total_add,raw_examples
no,meeting,chillout,afterhour shred,1,,mirror:events/show/1397480031,,Meeting>Chillout>Afterhour Shred
no,player meeting,accommodation,registration,1,,2015_todexon_16,,Player Meeting>Accommodation>Registration
no,montage,furious flail,dod swirl,1,,2015_worlds_copenhagen,,Montage>Furious Flail>DOD Swirl
no,blurry double pickup,fusion,blurry whirling swirl,1,,2015_worlds_copenhagen,,Blurry Double Pickup>Fusion>Blurry Whirling Swirl
no,alpine blurry whirl,blurry torque,food processor,1,,2015_worlds_copenhagen,,Alpine Blurry Whirl>Blurry Torque>Food Processor
yes,fairy_ducking_butterfly,fog,pixie_paradon,1,,2015_worlds_copenhagen,15,Fairy Ducking Butterfly>Fog>Pixie Paradon
no,bedwetter,pixie whirl,butterfly rev,1,,2015_worlds_copenhagen,,Bedwetter>Pixie Whirl>Butterfly Rev
no,blurry whirl,ducking butterly,ps whirl,1,,2015_worlds_copenhagen,,Blurry Whirl>Ducking Butterly>PS Whirl
no,ducking pdx mirage,double legover,pixie whirl,1,,2015_worlds_copenhagen,,Ducking Pdx Mirage>Double Legover>Pixie Whirl
no,blurry dbl pickup,fusion,blurry wh swirl,1,,2016_worlds_trnava,,Blurry Dbl Pickup>Fusion>Blurry Wh Swirl
no,blurry dso,phoenix,foodprocessor,1,Jakub Mosciszewski,2016_worlds_trnava,,Blurry DSO>Phoenix>Foodprocessor
no,fusion,ps eggbeater,pixie same side torque,1,Santeri Karvinen,2016_eurochamp_frankfurt,,Fusion>PS Eggbeater>Pixie Same Side Torque
yes,sailing_butterfly,blurry_whirl,paradox_torque,1,Andreas Nawrath,2016_eurochamp_frankfurt,15,Sailing Butterfly>Blurry Whirl>Paradox Torque
yes,matador,blurry_whirl,paradox_torque,1,,2016_eurochamp_frankfurt,15,Matador>Blurry Whirl>Paradox Torque
no,phasing osis,blurry whip,torque srew,1,,2016_eurochamp_frankfurt,,Phasing Osis>Blurry Whip>Torque Srew
no,pixie double down,stepping whip,paradox torque,1,Marco Hartig,2016_eurochamp_frankfurt,,Pixie Double Down>Stepping Whip>Paradox Torque
no,ripwalk,ps whip,osis,1,,2016_eurochamp_frankfurt,,Ripwalk>PS Whip>Osis
no,down,butterfly,butterfly,1,Steffen Seemann,2016_eurochamp_frankfurt,,Down>Butterfly>Butterfly
yes,around_the_world,legover,clipper,1,Asmus Helms,2016_eurochamp_frankfurt,5,ATW>Legover>Clipper
yes,legover,toe_stall,inside_stall,1,,2016_eurochamp_frankfurt,4,Legover>Toe Stall>Inside Stall
no,fairy swirling dlo,phoenix,locomotion,1,,2018_eurochamp_kranj,,Fairy Swirling DLO>Phoenix>Locomotion
no,atomic motion,blury whirl,motion sickness,1,,2018_eurochamp_kranj,,Atomic Motion>Blury Whirl>Motion Sickness
no,pixie ducking cliper,ps whirl,double spin,1,Patrik Cerny,2018_eurochamp_kranj,,Pixie Ducking Cliper>Ps Whirl>Double Spin
no,ps egg,pixie motion,ps torque,1,,2018_worlds_sofia,,PS Egg>Pixie Motion>PS Torque
no,atomic motion,spinning ducking butterfly,whirlygig,1,,2018_worlds_sofia,,Atomic Motion>Spinning Ducking Butterfly>Whirlygig
yes,barraging_butterfly,blurriest,ducking_double_leg_over,1,,2018_worlds_sofia,14,Janiwalker>Blurriest>Ducking DLO
yes,fairy_ducking_legover,phoenix,blurry_whirl,1,,2018_worlds_sofia,14,Fairy Ducking Legover>Phoenix>Blurry Whirl
no,fairy ducking butterfly,blurry whirl,blurry dyno,1,,2018_worlds_sofia,,Fairy Ducking Butterfly>Blurry Whirl>Blurry Dyno
yes,quantum_whirl,blurriest,blurry_whirl,1,,2018_worlds_sofia,14,Quantum Whirl>Blurriest>Blurry Whirl
yes,paradon,double_leg_over,drifter,1,,2018_worlds_sofia,10,Paradon>DLO>Drifter
no,pho,bw,psw,1,,2019_lakeerie,,Pho>BW>PSW
no,blurr merlin,pixie motion,mullet,1,,2018_austrian,,Blurr Merlin>Pixie Motion>Mullet
no,atomic motion,zooming ducking butterfly,stepping ps whirl,1,,2018_austrian,,Atomic Motion>Zooming Ducking Butterfly>Stepping PS Whirl
no,ps eggbeater,pixie motion,ps torque,1,,2018_austrian,,PS Eggbeater>Pixie Motion>PS Torque
no,sailing butterfly,blurry whirl,spinning pdx blender,1,Andreas Nawrath,2018_austrian,,Sailing Butterfly>Blurry Whirl>Spinning Pdx Blender
yes,ripped_warrior,paradox_torque,paradox_symposium_whirl,1,Przemek Pietrzycki,2018_austrian,15,Ripped Warrior>Pdx Torque>PS Whirl
yes,paradox_symposium_whirl,paradox_torque,paradox_blender,1,Roman Huber,2018_austrian,15,PS Whirl>Pdx Torque>Pdx Blender
yes,butterfly,paradox_mirage,butterfly,1,Ivan Iakimenko,2018_austrian,9,Butterfly>Pdx Mirage>Butterfly
no,janiwalker,bedwetter,pixie whirling swirl,1,Maciej Niczyporuk,2019_worlds_warsaw,,Janiwalker>Bedwetter>Pixie Whirling Swirl
yes,spinning_double_leg_over,pixie_butterfly_swirl,spinning_torque,1,Damian Gielnicki,2019_worlds_warsaw,14,Spinning DLO>Dimwalk Swirl>Marius
no,atomic motion,locomotion,ducking symp,1,Pawel Nowak,2019_worlds_warsaw,,Atomic Motion>Locomotion>Ducking Symp
yes,fury,fusion,paradox_symposium_whirl,1,Christopher Schillem,2019_worlds_warsaw,15,Fury>Fusion>PS Whirl
yes,food_processor,barraging_butterfly,paradox_torque,1,Arek Stanek,2019_worlds_warsaw,16,Food Processor>Janiwalker>PDX Torque
yes,fog,dimmiest,paradox_torque,1,Nathan Bonslaver,2019_worlds_warsaw,15,Fog>Dimmiest>PDX Torque
yes,phoenix,bedwetter,dimmiest,1,Jakub Mosciszewski,2019_worlds_warsaw,14,Phoenix>Bedwetter>Dimmiest
no,pdx tapping pickup,fairy butterfly,blurry whirl,1,Sergio Garcia,2019_worlds_warsaw,,PDX Tapping Pickup>Fairy Butterfly>Blurry Whirl
yes,fairy_butterfly,ripwalk,spinning_whirl,1,Johnny Sarah,2019_worlds_warsaw,12,Fairy Butterfly>Ripwalk>Spinning Whirl
yes,diving_clipper,ducking_clipper,whirl,1,Cristoph Alexander,2019_worlds_warsaw,9,Diving Clipper>Ducking Clipper>Whirl
no,honza weber alpine fog,pixie spinning osis,barroquescrew,1,,2021_worlds_online,,Honza Weber Alpine Fog>Pixie Spinning Osis>Barroquescrew
no,christopher schillem nemesis,spikehammer,atomic mama curve,1,,2021_worlds_online,,Christopher Schillem Nemesis>Spikehammer>Atomic Mama Curve
no,rafal kaleta fs janiwalker,ps torque,ducking swivel,1,,2021_worlds_online,,Rafal Kaleta FS Janiwalker>PS Torque>Ducking Swivel
no,josh gayhart fog,pixie butterfly swivel,mullet,1,,2021_worlds_online,,Josh Gayhart Fog>Pixie Butterfly Swivel>Mullet
no,rafal kaleta fs janiwalker,ps twirl,ps torque,1,,2021_worlds_online,,Rafal Kaleta FS Janiwalker>PS Twirl>PS Torque
no,pawel nowak quantum dyno,spinning ducking mirage,symp tapping twirl,1,,2021_worlds_online,,Pawel Nowak Quantum Dyno>Spinning Ducking Mirage>Symp Tapping Twirl
no,patrik cerny double spinning legover,pixie ducking clipper,mullet,1,,2021_worlds_online,,Patrik Cerny Double Spinning Legover>Pixie Ducking Clipper>Mullet
no,drifter,gyro dlo,pixie motion,1,,2021_worlds_online,,Drifter>Gyro DLO>Pixie Motion
no,wiktor debski ripped warrior,ps whirl,spinning flail,1,,2021_worlds_online,,Wiktor Debski Ripped Warrior>PS Whirl>Spinning Flail
no,wiktor debski jackknife,ps whirl,swivel,1,,2021_worlds_online,,Wiktor Debski Jackknife>PS Whirl>Swivel
no,mathieu gauthier bedwetter,fairy whirl,infinity rev,1,,2021_worlds_online,,Mathieu Gauthier Bedwetter>Fairy Whirl>Infinity Rev
no,merzouk,montreal,qc,1,,2001_montreal_summer_challenge,,Merzouk>Montreal>Qc
no,gordon bevier,erie,pa,1,,2001_montreal_summer_challenge,,Gordon Bevier>Erie>PA
no,duchesne,montreal,qc,1,,2001_montreal_summer_challenge,,Duchesne>Montreal>Qc
no,xavier beauchamp tremblay,montreal,qc,1,,2001_montreal_summer_challenge,,Xavier Beauchamp-Tremblay>Montreal>Qc
