slug,canonical_name,current_add,operational_notation,entry_surface,entry_specificity,terminal_surface,terminal_kind,terminal_relation,variable_at,dex_count,family,base_trick,category,modifier_links,operator_classes,foot_tracking_straightforward,ambiguity_note
dark_avenue,dark avenue,5,TOE > SAME OUT [DEX] >> DIVE [BOD] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,butterfly,diving_butterfly,compound,fairy,set,yes,
darkwalk,darkwalk,5,TOE > SAME IN [DEX] >> DIVE [BOD] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,butterfly,butterfly,compound,,,yes,
dimmiest,dimmiest,5,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,3,paradon,paradon,compound,pixie,set,yes,
dimwalk,dimwalk,4,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,butterfly,butterfly,compound,pixie,set,yes,
diving_butterfly,diving butterfly,4,SET > DIVE [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,VARIABLE,mid-chain,1,butterfly,butterfly,compound,diving,body,no,
diving_clipper,diving clipper,3,SET > DIVE [BOD] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,0,clipper,clipper,compound,diving,body,yes,
diving_drifter,diving drifter,4,SET > DIVE [BOD] > OP IN [DEX] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,1,clipper_stall,drifter,compound,diving,body,yes,
diving_eclipse,diving eclipse,4,SET > DIVE [BOD] > JUMP [BOD] > SAME/OP INSIDE [DEL] > OP OUT [DEX] > (land),SET,SET,INSIDE,DELAY,VARIABLE,terminal,1,eclipse,eclipse,compound,diving,body,no,
diving_guay,diving guay,3,SET > DIVE [BOD] > OP IN [DEX] > SAME INSIDE [DEL],SET,SET,INSIDE,DELAY,SWITCH,,1,inside_stall,guay,compound,diving,body,yes,
diving_illusion,diving illusion,3,SET > DIVE [BOD] > OP OUT [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,1,illusion,illusion,compound,diving,body,yes,
diving_legover,diving legover,3,SET > DIVE [BOD] > OP OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,1,legover,legover,compound,diving,body,yes,
diving_mirage,diving mirage,3,SET > DIVE [BOD] > OP IN [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,1,mirage,mirage,compound,diving,body,yes,
diving_osis,diving osis,4,SET > DIVE [BOD] > (back or front) SPIN [BOD] > SAME/OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,VARIABLE,terminal,0,osis,osis,compound,diving,body,no,
diving_pickup,diving pickup,3,SET > DIVE [BOD] > OP IN [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,1,pickup,pickup,compound,diving,body,yes,
diving_reverse_guay,diving reverse guay,3,SET > DIVE [BOD] > SAME IN [DEX] > SAME INSIDE [DEL],SET,SET,INSIDE,DELAY,PRESERVE,,1,inside_stall,guay,compound,diving,body,yes,
diving_reverse_swirl,diving reverse swirl,4,CLIP > DIVE [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,swirl,swirl,compound,diving,body,yes,
diving_smudge,diving smudge,4,TOE > DIVE [BOD] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,illusion,smudge,compound,diving,body,yes,
diving_swirl,diving swirl,4,CLIP > DIVE [BOD] > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,swirl,swirl,compound,diving,body,yes,
diving_symposium_mirage,diving symposium mirage,4,SET > DIVE [BOD] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,1,mirage,symposium_mirage,compound,diving,body,yes,
diving_symposium_whirl,diving symposium whirl,5,SET > DIVE [BOD] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,1,whirl,symposium_whirl,compound,diving|symposium,body,yes,
diving_toe_stall,diving toe stall,2,SET > DIVE [BOD] > SAME TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,0,toe_stall,toe_stall,compound,diving,body,yes,
diving_whirl,diving whirl,4,SET > DIVE [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,1,whirl,whirl,compound,diving,body,yes,
dolomite,dolomite,5,TOE >> (no plant while) OP OUT [DEX] [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,paradon,paradon,compound,,,yes,
dorshanatrix,dorshanatrix,5,TOE > SAME IN [DEX] > OP OUT [DEX] >> (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,mirage,mirage,compound,railing|symposium,body|set,yes,
double_around_the_world,double around the world,3,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,around_the_world,double_around_the_world,dex,,,yes,
double_around_the_world_heel,double around the world heel,4,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME HEEL [UNS] [DEL],TOE,TOE,HEEL,DELAY,PRESERVE,,2,double_around_the_world,double_around_the_world,compound,,,yes,
double_blender,double blender,5,SET > OP IN [DEX] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,2,blender,blender,compound,,,yes,
double_fairy,double fairy,3,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,fairy,fairy,compound,fairy,set,yes,
double_illusion,double illusion,3,SET > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,2,illusion,illusion,compound,,,yes,
double_kick,double kick,1,DOUBLE KICK [BOD] [KICK],SET(implicit),SET,DOUBLE KICK,KICK,SIDE_NOT_APPLICABLE,,0,double_kick,double_kick,body,,,no,both feet contact simultaneously
double_knee,double knee,1,DOUBLE KNEE [BOD],SET(implicit),SET,,,UNRESOLVED,,0,double_knee,double_knee,body,,,no,no [DEL]/[KICK] terminal
double_leg_over,double leg over,3,SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,2,legover,double_leg_over,compound,,,yes,
double_leg_over_same_side,double leg over same side,3,SET > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,2,legover,double_leg_over,compound,,,yes,
double_orbit,double orbit,3,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,orbit,orbit,compound,,,yes,
double_over_down,double over down,4,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,double_over_down,double_over_down,compound,,,yes,
double_over_down_reverse_swirl,double over down reverse swirl,5,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,3,double_over_down,double_over_down,compound,,,yes,
double_over_down_swirl,double over down swirl,5,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,3,double_over_down,double_over_down,compound,,,yes,
double_pickup,double pickup,3,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,2,pickup,pickup,compound,,,yes,
double_pixie,double pixie,3,TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,pixie,pixie,compound,pixie,set,yes,
double_spin,double spin,2,SPIN [BOD] > SPIN [BOD],SET(implicit),SET,,,UNRESOLVED,,0,double_spin,double_spin,body,,,no,no [DEL]/[KICK] terminal
double_spinning_butterfly,double spinning butterfly,5,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,butterfly,spinning_butterfly,compound,spinning|spinning,body,yes,
double_spinning_clipper,double spinning clipper,4,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,0,clipper_stall,spinning_clipper,compound,spinning|spinning,body,yes,
double_spinning_mirage,double spinning mirage,4,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,1,mirage,spinning_mirage,compound,spinning|spinning,body,yes,
double_spinning_osis,double spinning osis,5,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,0,osis,spinning_osis,compound,spinning|spinning,body,yes,
double_spinning_whirl,double spinning whirl,5,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,whirl,spinning_whirl,compound,spinning|spinning,body,yes,
double_swirl_dragon,double swirl dragon,4,SET > SAME OUT [DEX] > SAME OUT [DEX] > DRAGON [UNS] [DEL],SET,SET,DRAGON,DELAY,SIDE_NOT_APPLICABLE,,2,swirl,swirl,compound,,,no,dragon delay is a midline surface
double_switch_over,double switch over,3,SET > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,2,legover,legover,compound,,,yes,
double_whirl,double whirl,4,SET > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,2,whirl,whirl,compound,,,yes,
down_diver,down diver,5,TOE > DIVE [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,double_over_down,double_over_down,compound,,,yes,
down_double_down,down double down,4,CLIP >> OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,down_double_down,down_double_down,compound,,,yes,
dragon,dragon,2,SET > SAME OUT [XBD] [DEL],SET,SET,OUT,DELAY,PRESERVE,,0,dragon,dragon,compound,,,yes,
dragonfly_kick,dragonfly kick,2,FLYING [BOD] > OP OUT [DEX] [KICK],SET(implicit),SET,OUT,KICK,SWITCH,,1,dragonfly_kick,dragonfly_kick,body,,,yes,
drifter,drifter,3,SET > OP IN [DEX] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,1,clipper_stall,clipper_stall,compound,,,yes,
ducking_barfly,ducking barfly,5,CLIP > DUCK [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,barfly,barfly,compound,ducking,body,yes,
ducking_butterfly,ducking butterfly,4,SET > DUCK [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,VARIABLE,mid-chain,1,butterfly,butterfly,compound,ducking,body,no,
ducking_butterfly_swirl,ducking butterfly swirl,5,TOE > DUCK [BOD] > OP OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,butterfly_swirl,butterfly_swirl,compound,ducking,body,yes,
ducking_clipper,ducking clipper,3,TOE > DUCK [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,0,clipper_stall,clipper_stall,compound,ducking,body,yes,
ducking_double_leg_over,ducking double leg over,4,TOE > DUCK [BOD] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,double_leg_over,double_leg_over,compound,ducking,body,yes,
ducking_drifter,ducking drifter,4,TOE > DUCK [BOD] > OP IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,1,drifter,drifter,compound,ducking,body,yes,
ducking_eclipse,ducking eclipse,4,TOE > DUCK [BOD] JUMP [BOD] > SAME INSIDE [DEL] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,0,eclipse,eclipse,compound,ducking,body,yes,
ducking_guay,ducking guay,3,TOE > DUCK [BOD] > OP IN [DEX] > SAME INSIDE [DEL],TOE,TOE,INSIDE,DELAY,SWITCH,,1,inside_stall,guay,compound,ducking,body,yes,
ducking_illusion,ducking illusion,3,TOE > DUCK [BOD] > OP OUT [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,1,illusion,illusion,compound,ducking,body,yes,
ducking_legover,ducking legover,3,TOE > DUCK [BOD] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,1,legover,legover,compound,ducking,body,yes,
ducking_mirage,ducking mirage,3,TOE > DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,1,mirage,mirage,compound,ducking,body,yes,
ducking_osis,ducking osis,4,SET > DUCK [BOD] > SAME/OP OSIS [BOD] [XBD] [DEL],SET,SET,OSIS,DELAY,VARIABLE,terminal,0,osis,osis,compound,ducking,body,no,
ducking_paradox_blender,ducking paradox blender,6,CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,blender,paradox_blender,compound,ducking|paradox,body,yes,
ducking_paradox_drifter,ducking paradox drifter,5,CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,drifter,paradox_drifter,compound,ducking|paradox,body,yes,
ducking_paradox_flail,ducking paradox flail,5,TOE > DUCK [BOD] > (no plant while) OP OUT [PDX] [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,1,flail,paradox_flail,compound,ducking|paradox,body,yes,
ducking_paradox_illusion,ducking paradox illusion,4,CLIP > DUCK [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,1,illusion,paradox_illusion,compound,ducking|paradox,body,yes,
ducking_paradox_mirage,ducking paradox mirage,4,CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,1,mirage,paradox_mirage,compound,ducking|paradox,body,yes,
ducking_paradox_symposium_illusion,ducking paradox symposium illusion,5,CLIP > DUCK [BOD] > (no plant while) OP OUT [PDX] [BOD] [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,1,illusion,paradox_symposium_illusion,compound,ducking|paradox|symposium,body,yes,
ducking_paradox_symposium_mirage,ducking paradox symposium mirage,5,CLIP > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,1,mirage,paradox_symposium_mirage,compound,ducking|paradox|symposium,body,yes,
ducking_paradox_symposium_whirl,ducking paradox symposium whirl,6,CLIP > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,whirl,paradox_symposium_whirl,compound,ducking|paradox|symposium,body,yes,
ducking_paradox_torque,ducking paradox torque,6,CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,torque,paradox_torque,compound,ducking|paradox,body,yes,
ducking_pickup,ducking pickup,3,TOE > DUCK [BOD] > OP IN [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,1,pickup,pickup,compound,ducking,body,yes,
ducking_reverse_guay,ducking reverse guay,3,SET > DUCK [BOD] > SAME IN [DEX] > OP INSIDE [DEL],SET,SET,INSIDE,DELAY,SWITCH,,1,inside_stall,guay,compound,ducking,body,yes,
ducking_symposium_mirage,ducking symposium mirage,4,TOE > DUCK [BOD] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,1,mirage,symposium_mirage,compound,ducking|symposium,body,yes,
ducking_symposium_reverse_whirl,ducking symposium reverse whirl,5,SET > DUCK [BOD] > (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,1,rev_whirl,symposium_reverse_whirl,compound,ducking,body,yes,
ducking_toe_stall,ducking toe stall,2,TOE > DUCK [BOD] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,0,toe_stall,toe_stall,compound,ducking,body,yes,
ducking_whirl,ducking whirl,4,SET > DUCK [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,1,whirl,whirl,compound,ducking,body,yes,
dyno,dyno,4,SET > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,1,dyno,,compound,,,yes,
eclipse,eclipse,3,SET > JUMP [BOD] > SAME/OP INSIDE [DEL] > OP OUT [DEX] > (land),SET,SET,INSIDE,DELAY,VARIABLE,terminal,1,eclipse,eclipse,compound,,,no,
eclipse_same_side,eclipse same side,3,SET > JUMP [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (land),SET,SET,INSIDE,DELAY,PRESERVE,,1,eclipse,eclipse,compound,,,yes,
eggbeater,eggbeater,3,TOE >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,legover,legover,compound,atomic,set,yes,
eggbeater_same_side,eggbeater same side,3,TOE >> SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,legover,eggbeater,compound,,,yes,
ego,ego,6,TOE > OP OUT [DEX] >> DUCK [BOD] >> OP FRONT WHIRL [DEX] [XDEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,whirl,ducking_whirl,compound,,,yes,
fairy,fairy,2,TOE > SAME OUT [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,1,fairy,fairy,set,,,yes,
fairy_barrage,fairy barrage,4,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,barrage,barrage,compound,fairy,set,yes,
fairy_blender,fairy blender,5,TOE > SAME OUT [DEX] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,blender,blender,compound,fairy,set,yes,
fairy_butterfly,fairy butterfly,4,TOE > SAME OUT [DEX] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,VARIABLE,mid-chain,2,butterfly,butterfly,compound,fairy,set,no,
fairy_butterfly_swirl,fairy butterfly swirl,5,TOE > SAME OUT [DEX] > SAME/OP OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,VARIABLE,mid-chain,3,butterfly_swirl,butterfly_swirl,compound,fairy,set,no,
fairy_clipper,fairy clipper,3,TOE > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,1,clipper_stall,clipper_stall,compound,,,yes,
fairy_double_leg_over_same_side,fairy double leg over same side,4,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,3,double_leg_over,flog,compound,,,yes,
fairy_double_over_down,fairy double over down,5,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,3,double_over_down,double_over_down,compound,fairy,set,yes,
fairy_double_pickup,fairy double pickup,4,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,double_pickup,double_pickup,compound,fairy,set,yes,
fairy_drifter,fairy drifter,4,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,clipper_stall,drifter,compound,fairy,set,yes,
fairy_ducking_blender,fairy ducking blender,6,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,blender,blender,compound,fairy|ducking,body|set,yes,
fairy_ducking_butterfly,fairy ducking butterfly,5,TOE > SAME OUT [DEX] >> DUCK [BOD] >> SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,VARIABLE,mid-chain,2,butterfly,ducking_butterfly,compound,fairy|ducking,body|set,no,
fairy_ducking_clipper,fairy ducking clipper,4,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,1,clipper_stall,ducking_clipper,compound,fairy|ducking,body|set,yes,
fairy_ducking_double_leg_over,fairy ducking double leg over,5,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,3,double_leg_over,ducking_double_leg_over,compound,fairy|ducking,body|set,yes,
fairy_ducking_drifter,fairy ducking drifter,5,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,drifter,ducking_drifter,compound,fairy|ducking,body|set,yes,
fairy_ducking_illusion,fairy ducking illusion,4,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,illusion,ducking_illusion,compound,fairy|ducking,body|set,yes,
fairy_ducking_legover,fairy ducking legover,4,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,legover,ducking_legover,compound,fairy|ducking,body|set,yes,
fairy_ducking_osis,fairy ducking osis,5,TOE > SAME OUT [DEX] >> DUCK [BOD] >> (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,1,osis,ducking_osis,compound,fairy|ducking,body|set,yes,
fairy_ducking_pickup,fairy ducking pickup,4,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,pickup,ducking_pickup,compound,fairy|ducking,body|set,yes,
fairy_ducking_torque,fairy ducking torque,6,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,torque,torque,compound,fairy|ducking,body|set,yes,
fairy_ducking_whirl,fairy ducking whirl,5,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,whirl,ducking_whirl,compound,fairy|ducking,body|set,yes,
fairy_dyno,fairy dyno,5,TOE > SAME OUT [DEX] > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,dyno,dyno,compound,fairy,set,yes,
fairy_eclipse,fairy eclipse,4,TOE > SAME OUT [DEX] JUMP [BOD] > SAME INSIDE [DEL] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,1,eclipse,eclipse,compound,fairy,set,yes,
fairy_eggbeater,fairy eggbeater,4,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,3,legover,eggbeater,compound,fairy,set,yes,
fairy_flail,fairy flail,4,TOE > SAME OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,2,flail,flail,compound,fairy,set,yes,
fairy_guay,fairy guay,3,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME INSIDE [DEL],TOE,TOE,INSIDE,DELAY,SWITCH,,2,inside_stall,guay,compound,fairy,set,yes,
fairy_gyro_barrage,fairy gyro barrage,5,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,barrage,gyro_barrage,compound,fairy|gyro,body|set,yes,
fairy_gyro_butterfly,fairy gyro butterfly,5,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,butterfly,gyro_butterfly,compound,fairy|gyro,body|set,yes,
fairy_gyro_double_leg_over,fairy gyro double leg over,5,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,double_leg_over,gyro_double_leg_over,compound,fairy|gyro,body|set,yes,
fairy_gyro_drifter,fairy gyro drifter,5,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,drifter,vortex,compound,fairy,set,yes,
fairy_gyro_mirage,fairy gyro mirage,4,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,gyro_mirage,compound,fairy|gyro,body|set,yes,
fairy_gyro_symposium_mirage,fairy gyro symposium mirage,5,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,gyro_symposium_mirage,compound,fairy|gyro|symposium,body|set,yes,
fairy_gyro_torque,fairy gyro torque,6,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,osis,torque,compound,fairy|gyro,body|set,yes,
fairy_gyro_whirl,fairy gyro whirl,5,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,whirl,gyro_whirl,compound,fairy|gyro,body|set,yes,
