canonical_slug,canonical_display_name,canonical_official_add,canonical_publication_status,raw_source_count,doctrine_divergence_tier,add_claim_spread,composite_modifier_flag,best_candidate_source,best_candidate_notation,candidate_fm,candidate_fborg,candidate_passback,candidate_stanford,candidate_internal_ts,parser_status,backfill_readiness,recommended_action
spinning-osis,spinning osis,4,canonical_active,5,none,0,0,fborg,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],spinning(+1) + osis(3) --> 4 ADDs,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],,X.\/-X,,parser-clean,high,backfill_high_confidence
spinning-paradox-blender,spinning-paradox-blender,6,canonical_active,5,none,0,0,fborg,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],no-stanford,high,backfill_high_confidence
spinning-paradox-illusion,spinning-paradox-illusion,4,canonical_active,5,none,0,0,fborg,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],,,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],no-stanford,high,backfill_high_confidence
spinning-paradox-mirage,spinning-paradox-mirage,4,canonical_active,5,none,0,0,fborg,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],no-stanford,high,backfill_high_confidence
spinning-paradox-whirl,spinning-paradox-whirl,5,canonical_active,5,none,0,0,fborg,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],no-stanford,high,backfill_high_confidence
spinning-whirl,spinning whirl,4,canonical_active,2,small,1,0,stanford,X.\-1-X,,,,X.\-1-X,,parser-clean,high,backfill_high_confidence
stepping-ducking-paradox-blender,stepping-ducking-paradox-blender,7,canonical_active,5,none,0,0,fborg,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],no-stanford,high,backfill_high_confidence
stepping-osis,stepping osis,4,canonical_active,4,none,0,0,fm,stepping(+1) + osis(3) --> 4 ADDs,stepping(+1) + osis(3) --> 4 ADDs,,,X-1.\+X,,parser-clean,high,backfill_high_confidence
sumo,sumo,5,canonical_active,6,large,3,0,fm,Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Toe (DEL),Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Toe (DEL),,Nuclear far Mirage,X+0.-1-Z,,parser-clean,high,backfill_high_confidence
superfly,superfly,5,canonical_active,5,large,3,0,fm,Clip >> (no plant while) Same Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip >> (no plant while) Same Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),,Clipper far Symp. Double Down,,,no-stanford,high,backfill_high_confidence
surge,surge,5,canonical_active,6,large,3,0,fm,Clip > (back) Spin (BOD) > Same In (DEX) >> Op In (DEX)(PDX) > Op Toe (DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> Op In (DEX)(PDX) > Op Toe (DEL),,Surging far Mirage,X\.+1-1-Z,,parser-clean,high,backfill_high_confidence
surgery,surgery,6,canonical_active,4,none,0,0,fm,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),,,X\+1.-!0-X,,parser-clean,high,backfill_high_confidence
surreal,surreal,6,canonical_active,6,large,4,0,fm,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),,Surging far Whirl,X\+1.-1-X,,parser-clean,high,backfill_high_confidence
swirl,swirl,3,canonical_active,6,large,2,0,fborg,CLIP > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],dex(1) + xbody(1) + stall(1) --> 3 ADDs,CLIP > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],(downtime) xbd leggy out dex>ss clipper,,,no-stanford,high,backfill_high_confidence
symposium-mirage,symposium mirage,3,canonical_active,3,none,0,0,fm,SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],,,*.-!1-Z,,parser-clean,high,backfill_high_confidence
symposium-whirl,symposium whirl,4,canonical_active,4,none,0,0,fborg,SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],,X.-!1-X,,parser-clean,high,backfill_high_confidence
tapdown,tapdown,4,canonical_active,4,large,2,0,fm,Toe > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Toe > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,Atomic near Butterfly,,,no-stanford,high,backfill_high_confidence
terrage,terrage,4,canonical_active,6,large,2,0,fm,Toe > Same In (DEX) >> Same In (DEX) >> Op Toe (DEL),Toe > Same In (DEX) >> Same In (DEX) >> Op Toe (DEL),,"(midtime) Toe near Barrage, double-dex ""Pixie""",Z.+1+1-Z,,parser-clean,high,backfill_high_confidence
tomahawk,tomahawk,5,canonical_active,6,large,4,0,fm,Clip >> Duck (BOD) >> Same Fornt Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),Clip >> Duck (BOD) >> Same Fornt Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),,Clipper Ducking far Whirl,X^+1-X,,parser-clean,high,backfill_high_confidence
tombstone,tombstone,4,canonical_active,5,large,2,0,fm,Clip > Op In (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL),Clip > Op In (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL),,Stepping near Drifter,,,no-stanford,high,backfill_high_confidence
torque,torque,4,canonical_active,7,large,4,0,fborg,CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],Clip >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],(downtime) Miraging far Osis,X.-1/-X,,parser-clean,high,backfill_high_confidence
venom,venom,6,canonical_active,6,large,3,0,fm,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,Surging far Double Down,X\-1.-0+0-X,,parser-clean,high,backfill_high_confidence
vortex,vortex,4,canonical_active,6,large,3,0,fm,Clip >> (back) Spin (BOD) >> Same In (DEX) > Same Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> Same In (DEX) > Same Clip (XBD)(DEL),,Spinning near Drifter,X.\+1+X,,parser-clean,high,backfill_high_confidence
walk-over,walk over,2,canonical_active,4,none,0,0,fm,stall(1) + dex(1) --> 2 ADDs,stall(1) + dex(1) --> 2 ADDs,,"Inside Stall>place foot on ground>step over into Clipper, or reverse direction",,,no-stanford,high,backfill_high_confidence
whirl,whirl,3,canonical_active,7,large,4,0,fborg,SET > OP IN [DEX] > OP CLIP [XBD] [DEL],SET > OP IN [DEX] > OP CLIP [XBD] [DEL],SET > OP IN [DEX] > OP CLIP [XBD] [DEL],(downtime) leggy in dex>ss clipper,*.-1-X,,parser-clean,high,backfill_high_confidence
whirling-swirl,whirling swirl,4,canonical_active,4,small,1,0,fborg,CLIP > OP IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],whirling(+1) + swirl(3) --> 4 ADDs,CLIP > OP IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],,,,no-stanford,high,backfill_high_confidence
witchdoctor,witchdoctor,5,canonical_active,3,small,1,0,fm,Toe > Op Out (DEX) >> (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),Toe > Op Out (DEX) >> (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),,,,,no-stanford,high,backfill_high_confidence
pogo,pogo,0,canonical_active,3,large,2,0,passback,"Pogo far Mirage, (uptime) Symp. Miraging far Mirage",,,"Pogo far Mirage, (uptime) Symp. Miraging far Mirage",,,no-stanford,medium,backfill_curator_review
spinning-symposium-whirl,spinning symposium whirl,5,canonical_active,4,large,5,0,passback,Spinning far Symp. Whirl,,,Spinning far Symp. Whirl,X.\-!1-X,,parser-clean,medium,backfill_curator_review
spinning-torque,spinning torque,5,canonical_active,4,large,5,0,passback,Spinning Torque,,,Spinning Torque,X.\-1/-X,,parser-clean,medium,backfill_curator_review
