"name","slug","source_corpus","ecosystems","primary_block_ecosystem","blocking_question"
"Shooting ss Clipper","shooting-ss-clipper","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting ss Illusion","shooting-ss-illusion","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting ss Legover","shooting-ss-legover","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting ss Mirage","shooting-ss-mirage","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting ss Pickup","shooting-ss-pickup","stanford","shooting","shooting","shooting structural ruling pending"
"Slapping Weaving Butterfly (Quantanamera)","slapping-weaving-butterfly-quantanamera","stanford","weaving","weaving","weaving movement ruling pending"
"Stepping DDD (Blurrier)","stepping-ddd-blurrier","stanford","stepping","stepping","curator/Red ruling pending"
"Stepping Weaving Butterfly","stepping-weaving-butterfly","stanford","stepping|weaving","weaving","weaving movement ruling pending"
"Stepping Weaving Mirage","stepping-weaving-mirage","stanford","stepping|weaving","weaving","weaving movement ruling pending"
"Symposium Furious Legover","symposium-furious-legover","stanford","symposium|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Tapping Weaving Mirage","tapping-weaving-mirage","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving Drifter","weaving-drifter","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving Eclipse","weaving-eclipse","stanford","eclipse-hop-over|weaving","weaving","weaving movement ruling pending"
"Weaving Guay","weaving-guay","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving Illusion","weaving-illusion","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving Mirage","weaving-mirage","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving Reverse Guay","weaving-reverse-guay","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving Symposium Mirage","weaving-symposium-mirage","stanford","symposium|weaving","weaving","weaving movement ruling pending"
"Weaving Toe Stall","weaving-toe-stall","stanford","weaving","weaving","weaving movement ruling pending"
"Weaving XBD Rake","weaving-xbd-rake","stanford","weaving|dragon-rake","weaving","weaving movement ruling pending"
