"name","slug","governance_state","category","source_corpus","overlap_kinds","equivalent_to","ecosystems"
"Pixie Paradon (Dimmiest)","pixie-paradon-dimmiest","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie"
"Pixie Pickup (Paste)","pixie-pickup-paste","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie"
"Pixie ss Butterfly (Park Walk)","pixie-ss-butterfly-park-walk","3 Observationally represented","PROMOTED","stanford","canonical-alias","","pixie"
"Pixie Symposium Eggbeater (Pandemonium)","pixie-symposium-eggbeater-pandemonium","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie|symposium"
"Pixie Symposium Mirage (Backside Smear)","pixie-symposium-mirage-backside-smear","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie|symposium"
"Pixie Torque (Porque)","pixie-torque-porque","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie|blender-torque"
"Quantum Blender (Tofu)","quantum-blender-tofu","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum|blender-torque"
"Quantum Butterfly (Trip Walk)","quantum-butterfly-trip-walk","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum"
"Quantum Eggbeater (Boulder Beater)","quantum-eggbeater-boulder-beater","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum"
"Quantum Gyro Mirage (Quagmire)","quantum-gyro-mirage-quagmire","3 Observationally represented","PROMOTED","stanford","normalized-name","","gyro-spyro|quantum"
"Quantum Illusion (Toe Blizzard)","quantum-illusion-toe-blizzard","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum"
"Quantum Mirage (Toe Blur)","quantum-mirage-toe-blur","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum"
"Quantum Pickup (Leg Eater)","quantum-pickup-leg-eater","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum"
"Quantum Symposium Mirage (Conniption City)","quantum-symposium-mirage-conniption-city","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium|quantum"
"Quantum Torque (Quark)","quantum-torque-quark","3 Observationally represented","PROMOTED","stanford","normalized-name","","quantum|blender-torque"
"Rake (Reverse Pendulum)","rake-reverse-pendulum","3 Observationally represented","PROMOTED","stanford","normalized-name","","dragon-rake"
"Reverse ATW","reverse-atw","3 Observationally represented","PROMOTED","stanford","canonical-alias","",""
"Spinning Drifter (Lotus) (Void)","spinning-drifter-lotus-void","3 Observationally represented","PROMOTED","stanford","normalized-name","","spinning"
"Spinning Ducking Blender (Gangsta Party)","spinning-ducking-blender-gangsta-party","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|spinning|blender-torque"
"Spinning Ducking Whirl (Maelstrom)","spinning-ducking-whirl-maelstrom","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|spinning|whirl-swirl"
"Spinning Legover (Merkon)","spinning-legover-merkon","3 Observationally represented","PROMOTED","stanford","normalized-name","","spinning"
"Spinning Symposium Whirl (Whirlwind)","spinning-symposium-whirl-whirlwind","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium|spinning|whirl-swirl"
"Spinning Torque (Marius)","spinning-torque-marius","3 Observationally represented","PROMOTED","stanford","normalized-name","","spinning|blender-torque"
"Stepping Butterfly Swirl (Ripcurl)","stepping-butterfly-swirl-ripcurl","3 Observationally represented","PROMOTED","stanford","normalized-name","","stepping|whirl-swirl"
"Stepping DLO (Haze)","stepping-dlo-haze","3 Observationally represented","PROMOTED","stanford","canonical-alias","","stepping|dlo-double-down"
"Stepping Drifter (Tombstone)","stepping-drifter-tombstone","3 Observationally represented","PROMOTED","stanford","canonical-alias","","stepping"
"Stepping Eggbeater (Wet Dream) (Flaming Tard)","stepping-eggbeater-wet-dream-flaming-tard","3 Observationally represented","PROMOTED","stanford","normalized-name","","stepping"
"Stepping Torque (Gravedigger)","stepping-torque-gravedigger","3 Observationally represented","PROMOTED","stanford","canonical-alias","","stepping|blender-torque"
"Surging Butterfly (Big Walk)","surging-butterfly-big-walk","3 Observationally represented","PROMOTED","stanford","canonical-alias","",""
"Surging Symposium Reverse Whirl (Surgery)","surging-symposium-reverse-whirl-surgery","3 Observationally represented","PROMOTED","stanford","canonical-alias","","symposium|whirl-swirl"
"Symposium Barfly (Super Fly)","symposium-barfly-super-fly","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","","symposium"
"Symposium Illusion (Flail)","symposium-illusion-flail","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","","symposium"
"Symposium Paradon (Dolomite)","symposium-paradon-dolomite","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium"
"Symposium Twirl (Swivel)","symposium-twirl-swivel","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium"
"Tapping Butterfly (Tap Down)","tapping-butterfly-tap-down","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Tapping Drifter (Tremor)","tapping-drifter-tremor","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Tapping Mirage (Tap)","tapping-mirage-tap","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Tapping Torque (Spinal Tap)","tapping-torque-spinal-tap","3 Observationally represented","PROMOTED","stanford","normalized-name","","blender-torque"
"Tapping Twirl (Tapwater)","tapping-twirl-tapwater","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Whirling Osis (Blender)","whirling-osis-blender","3 Observationally represented","PROMOTED","stanford","canonical-alias","","whirl-swirl|blender-torque"
