"name","slug","source_corpus","provenance","cleaned_for_parse","base_trick","modifier_stack","decomposition","provisional_add","job_status","parser_confidence","doctrine_confidence","structurally_readable","mechanically_derivable","doctrine_stable","observationally_extrapolated","culturally_canonical","unresolved_tokens","missing_modifier_weights","failure_class","source_adds"
"Fairy Ducking Mirage","fairy-ducking-mirage","footbagmoves","footbagmoves","fairy ducking mirage","mirage","fairy|ducking","fairy(+1) + ducking(+1) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Fairy Spinning Double Over Down","fairy-spinning-double-over-down","footbagmoves","footbagmoves","fairy spinning double over down","","fairy|spinning","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|over|down","","ambiguous-terminal-mechanic",""
"Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","footbagmoves","footbagmoves","fairy spyro symposium torque","spyro|torque","fairy|symposium","fairy(+1) + symposium(+1) + spyro(1) = 3","3","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Fairy ss Butterfly","fairy-ss-butterfly","footbagmoves","footbagmoves","fairy butterfly","butterfly","fairy","fairy(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Fairy ss Double Legover","fairy-ss-double-legover","footbagmoves","footbagmoves","fairy double legover","legover","fairy","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token",""
"Fairy ss Drifter","fairy-ss-drifter","footbagmoves","footbagmoves","fairy drifter","drifter","fairy","fairy(+1) + drifter(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Fairy ss Eggbeater","fairy-ss-eggbeater","footbagmoves","footbagmoves","fairy eggbeater","fairy-eggbeater","","fairy-eggbeater(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Fairy ss Torque","fairy-ss-torque","footbagmoves","footbagmoves","fairy torque","torque","fairy","fairy(+1) + torque(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Fairy Whirl (same side)","fairy-whirl-same-side","footbagmoves","footbagmoves","fairy whirl","whirl","fairy","fairy(+1) + whirl(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Far Double Over Down","far-double-over-down","footbagmoves","footbagmoves","double over down","double-over-down","","double-over-down(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Far Double Switchover","far-double-switchover","footbagmoves","footbagmoves","double switchover","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","double|switchover","","folk-name-opacity",""
"Far Triple Over Down","far-triple-over-down","footbagmoves","footbagmoves","triple over down","","","","","deferred:chassis-substitution-required","none","policy-dependent","False","False","False","true","false","triple|over|down","","folk-name-opacity",""
"Far Whirling Bent Symposium Swirling Osis","far-whirling-bent-symposium-swirling-osis","footbagmoves","footbagmoves","whirling bent symposium swirling osis","osis","whirling|swirling|symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","bent","","unknown-modifier-token",""
"Ferocious / Flow","ferocious-flow","footbagmoves","footbagmoves","ferocious / flow","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","ferocious|flow","","folk-name-opacity",""
"Flailing Butterfly","flailing-butterfly","footbagmoves","footbagmoves","flailing butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","flailing","","unknown-modifier-token",""
"Flailing ss Symposium Double Legover","flailing-ss-symposium-double-legover","footbagmoves","footbagmoves","flailing symposium double legover","legover","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","flailing|double","","unknown-modifier-token",""
"Flailing ss Symposium Double Over Down","flailing-ss-symposium-double-over-down","footbagmoves","footbagmoves","flailing symposium double over down","","symposium","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","flailing|double|over|down","","ambiguous-terminal-mechanic",""
"Flailing ss Symposium Eggbeater","flailing-ss-symposium-eggbeater","footbagmoves","footbagmoves","flailing symposium eggbeater","eggbeater","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","flailing","","unknown-modifier-token",""
"Flailing ss Symposium Mirage","flailing-ss-symposium-mirage","footbagmoves","footbagmoves","flailing symposium mirage","mirage","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","flailing","","unknown-modifier-token",""
"Flailing Symposium Mirage","flailing-symposium-mirage","footbagmoves","footbagmoves","flailing symposium mirage","mirage","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","flailing","","unknown-modifier-token",""
"Flaming Tard / Wet Dream","flaming-tard-wet-dream","footbagmoves","footbagmoves","flaming tard / wet dream","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","flaming|tard|wet|dream","","folk-name-opacity",""
"Flaring Butterfly","flaring-butterfly","footbagmoves","footbagmoves","flaring butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","flaring","","unknown-modifier-token",""
"Floating Butterfly","floating-butterfly","footbagmoves","footbagmoves","floating butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","floating","","unknown-modifier-token",""
"Frantic Butterfly","frantic-butterfly","footbagmoves","footbagmoves","frantic butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frantic","","unknown-modifier-token",""
"Frantic Mirage","frantic-mirage","footbagmoves","footbagmoves","frantic mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frantic","","unknown-modifier-token",""
"Frootie Illusion","frootie-illusion","footbagmoves","footbagmoves","frootie illusion","illusion","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frootie","","unknown-modifier-token",""
"Frootie Legover","frootie-legover","footbagmoves","footbagmoves","frootie legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frootie","","unknown-modifier-token",""
"Frootie Mirage","frootie-mirage","footbagmoves","footbagmoves","frootie mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frootie","","unknown-modifier-token",""
"Frozen Butterfly","frozen-butterfly","footbagmoves","footbagmoves","frozen butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frozen","","unknown-modifier-token",""
"Furious Double Legover","furious-double-legover","footbagmoves","footbagmoves","furious double legover","legover","furious","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","double","","compression-ambiguity",""
"Furious Eggbeater","furious-eggbeater","footbagmoves","footbagmoves","furious eggbeater","eggbeater","furious","furious(+1) + eggbeater(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Furious Illusion","furious-illusion","footbagmoves","footbagmoves","furious illusion","illusion","furious","furious(+1) + illusion(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Furious Mirage","furious-mirage","footbagmoves","footbagmoves","furious mirage","mirage","furious","furious(+2 rot) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Furious Symposium Mirage","furious-symposium-mirage","footbagmoves","footbagmoves","furious symposium mirage","mirage","furious|symposium","furious(+2 rot) + symposium(+1) + mirage(2) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Furious Whirl","furious-whirl","footbagmoves","footbagmoves","furious whirl","whirl","furious","furious(+2 rot) + whirl(3) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Fusing Mirage","fusing-mirage","footbagmoves","footbagmoves","fusing mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","fusing","","unknown-modifier-token",""
"Fyro Double Legover","fyro-double-legover","footbagmoves","footbagmoves","fyro double legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","fyro|double","","unknown-modifier-token",""
"Fyro Mirage","fyro-mirage","footbagmoves","footbagmoves","fyro mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","fyro","","unknown-modifier-token",""
"Fyro Torque","fyro-torque","footbagmoves","footbagmoves","fyro torque","torque","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","fyro","","unknown-modifier-token",""
"Grifter (same side)","grifter-same-side","footbagmoves","footbagmoves","grifter","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","grifter","","folk-name-opacity",""
"Guillotine / Cower","guillotine-cower","footbagmoves","footbagmoves","guillotine / cower","guillotine","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","cower","","unknown-modifier-token",""
"Gyro Torque","gyro-torque","multi","footbagmoves|passback","gyro torque","torque","gyro","gyro(+1) + torque(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Gyro Torquescrew","gyro-torquescrew","multi","footbagmoves|passback","gyro torquescrew","","gyro","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","torquescrew","","ambiguous-terminal-mechanic",""
"High Plains Drifter / Barrifter","high-plains-drifter-barrifter","footbagmoves","footbagmoves","high plains drifter / barrifter","drifter","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","high|plains|barrifter","","unknown-modifier-token",""
"Hopover Swirl Dragon","hopover-swirl-dragon","footbagmoves","footbagmoves","hopover swirl dragon","swirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","hopover|dragon","","unknown-modifier-token",""
"Illusioning Legover","illusioning-legover","multi","footbagmoves|passback","illusioning legover","legover","","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","illusioning","","unknown-modifier-token",""
"Johny Quest / Neutron Smasher","johny-quest-neutron-smasher","footbagmoves","footbagmoves","johny quest / neutron smasher","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","johny|quest|neutron|smasher","","folk-name-opacity",""
"Jolimont ss Mirage","jolimont-ss-mirage","footbagmoves","footbagmoves","jolimont mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","jolimont","","unknown-modifier-token",""
"Leaning Osis","leaning-osis","footbagmoves","footbagmoves","leaning osis","osis","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","leaning","","unknown-modifier-token",""
"Leaning ss Mirage","leaning-ss-mirage","footbagmoves","footbagmoves","leaning mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","leaning","","unknown-modifier-token",""
"Leaning Torque","leaning-torque","footbagmoves","footbagmoves","leaning torque","torque","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","leaning","","unknown-modifier-token",""
"Leviathan / Christina Aguilera","leviathan-christina-aguilera","footbagmoves","footbagmoves","leviathan / christina aguilera","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","leviathan|christina|aguilera","","folk-name-opacity",""
"Lotus / Void","lotus-void","footbagmoves","footbagmoves","lotus / void","lotus","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","void","","unknown-modifier-token",""
"Miraging Dragon","miraging-dragon","footbagmoves","footbagmoves","miraging dragon","","miraging","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","dragon","","ambiguous-terminal-mechanic",""
"Miraging Symple Butterfly","miraging-symple-butterfly","footbagmoves","footbagmoves","miraging symple butterfly","butterfly","miraging","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","symple","","unknown-modifier-token",""
"Neutron Double Legover","neutron-double-legover","footbagmoves","footbagmoves","neutron double legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","neutron|double","","unknown-modifier-token",""
"Neutron Drifter","neutron-drifter","footbagmoves","footbagmoves","neutron drifter","drifter","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","neutron","","unknown-modifier-token",""
"Neutron Mirage","neutron-mirage","footbagmoves","footbagmoves","neutron mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","neutron","","unknown-modifier-token",""
"Neutron Smasher / Johny Quest","neutron-smasher-johny-quest","footbagmoves","footbagmoves","neutron smasher / johny quest","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","neutron|smasher|johny|quest","","folk-name-opacity",""
"Neutron Torque","neutron-torque","footbagmoves","footbagmoves","neutron torque","torque","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","neutron","","unknown-modifier-token",""
"Nuclear Butterfly","nuclear-butterfly","footbagmoves","footbagmoves","nuclear butterfly","butterfly","nuclear","nuclear(+2) + butterfly(3) = 5","5","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear Double Legover","nuclear-double-legover","footbagmoves","footbagmoves","nuclear double legover","legover","nuclear","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double","","compression-ambiguity",""
"Nuclear Double Over Down","nuclear-double-over-down","footbagmoves","footbagmoves","nuclear double over down","","nuclear","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|over|down","","compression-ambiguity",""
"Nuclear Drifter","nuclear-drifter","footbagmoves","footbagmoves","nuclear drifter","drifter","nuclear","nuclear(+2) + drifter(3) = 5","5","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear Ducking Mirage","nuclear-ducking-mirage","footbagmoves","footbagmoves","nuclear ducking mirage","mirage","nuclear|ducking","nuclear(+2) + ducking(+1) + mirage(2) = 5","5","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear Nova","nuclear-nova","footbagmoves","footbagmoves","nuclear nova","nova","nuclear","nuclear(+2) + nova(4) = 6","6","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear Osis","nuclear-osis","footbagmoves","footbagmoves","nuclear osis","osis","nuclear","nuclear(+2) + osis(3) = 5","5","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear ss Butterfly","nuclear-ss-butterfly","footbagmoves","footbagmoves","nuclear butterfly","butterfly","nuclear","nuclear(+2) + butterfly(3) = 5","5","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear ss Dyno","nuclear-ss-dyno","footbagmoves","footbagmoves","nuclear dyno","dyno","nuclear","nuclear(+2) + dyno(4) = 6","6","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","compression-ambiguity",""
"Nuclear ss Whirl","nuclear-ss-whirl","footbagmoves","footbagmoves","nuclear whirl","nuclear-whirl","","nuclear-whirl(5) [self-atom] = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Null Butterfly","null-butterfly","footbagmoves","footbagmoves","null butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","null","","unknown-modifier-token",""
"Paradox Drifter XBD Rake","paradox-drifter-xbd-rake","footbagmoves","footbagmoves","paradox drifter xbd rake","drifter|rake","paradox","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","xbd","","ambiguous-terminal-mechanic",""
"Paradox Merlin","paradox-merlin","footbagmoves","footbagmoves","paradox merlin","","paradox","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","merlin","","ambiguous-terminal-mechanic",""
"Paradox Toxic","paradox-toxic","footbagmoves","footbagmoves","paradox toxic","","paradox","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","toxic","","ambiguous-terminal-mechanic",""
"Phasing ss Dyno","phasing-ss-dyno","footbagmoves","footbagmoves","phasing dyno","dyno","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","phasing","","unknown-modifier-token",""
"Phasing ss Mirage","phasing-ss-mirage","footbagmoves","footbagmoves","phasing mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","phasing","","unknown-modifier-token",""
"Phasing ss Swirl","phasing-ss-swirl","footbagmoves","footbagmoves","phasing swirl","swirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","phasing","","unknown-modifier-token",""
"Pixie Diving Butterfly","pixie-diving-butterfly","footbagmoves","footbagmoves","pixie diving butterfly","butterfly","pixie|diving","pixie(+1) + diving(+1) + butterfly(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Double Legover","pixie-double-legover","footbagmoves","footbagmoves","pixie double legover","legover","pixie","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token",""
"Pixie Ducking Butterfly","pixie-ducking-butterfly","multi","footbagmoves|passback","pixie ducking butterfly","butterfly","pixie|ducking","pixie(+1) + ducking(+1) + butterfly(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Ducking Double Legover","pixie-ducking-double-legover","footbagmoves","footbagmoves","pixie ducking double legover","legover","pixie|ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token",""
"Pixie Ducking Spinning Toe","pixie-ducking-spinning-toe","footbagmoves","footbagmoves","pixie ducking spinning toe","","pixie|spinning|ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Pixie Gyro Double Legover","pixie-gyro-double-legover","footbagmoves","footbagmoves","pixie gyro double legover","legover","pixie|gyro","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token",""
"Pixie Miraging Symposium Miraging Legover","pixie-miraging-symposium-miraging-legover","footbagmoves","footbagmoves","pixie miraging symposium miraging legover","legover","pixie|miraging|symposium|miraging","pixie(+1) + miraging(+1) + symposium(+1) + miraging(+1) + legover(2) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Quantum Double Over Down Swirl","pixie-quantum-double-over-down-swirl","footbagmoves","footbagmoves","pixie quantum double over down swirl","swirl","pixie|quantum","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|over|down","","unknown-modifier-token",""
"Pixie Spinning Double Over Down","pixie-spinning-double-over-down","footbagmoves","footbagmoves","pixie spinning double over down","","pixie|spinning","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|over|down","","ambiguous-terminal-mechanic",""
"Pixie Spinning Paradox Blender","pixie-spinning-paradox-blender","footbagmoves","footbagmoves","pixie spinning paradox blender","blender","pixie|spinning|paradox","pixie(+1) + spinning(+1) + paradox(+1) + blender(4) = 7","7","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Spinning Paradox Symposium Whirl","pixie-spinning-paradox-symposium-whirl","footbagmoves","footbagmoves","pixie spinning paradox symposium whirl","whirl","pixie|spinning|paradox|symposium","pixie(+1) + spinning(+1) + paradox(+1) + symposium(+1) + whirl(3) = 7","7","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Spinning Paradox Whirl","pixie-spinning-paradox-whirl","footbagmoves","footbagmoves","pixie spinning paradox whirl","whirl","pixie|spinning|paradox","pixie(+1) + spinning(+1) + paradox(+1) + whirl(3) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie ss Double Over Down","pixie-ss-double-over-down","footbagmoves","footbagmoves","pixie double over down","pixie-double-over-down","","pixie-double-over-down(5) [self-atom] = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie ss Drifter","pixie-ss-drifter","footbagmoves","footbagmoves","pixie drifter","drifter","pixie","pixie(+1) + drifter(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie ss Dyno","pixie-ss-dyno","footbagmoves","footbagmoves","pixie dyno","pixie-dyno","","pixie-dyno(5) [self-atom] = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie ss Original Tap","pixie-ss-original-tap","footbagmoves","footbagmoves","pixie original tap","tap","pixie","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","original","","unknown-modifier-token",""
"Pixie ss Osis","pixie-ss-osis","footbagmoves","footbagmoves","pixie osis","pixie-osis","","pixie-osis(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Symposium Whirling Swirl","pixie-symposium-whirling-swirl","footbagmoves","footbagmoves","pixie symposium whirling swirl","swirl","pixie|whirling|symposium","pixie(+1) + whirling(+1) + symposium(+1) + swirl(3) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Pixie Wonton Butterfly","pixie-wonton-butterfly","footbagmoves","footbagmoves","pixie wonton butterfly","butterfly","pixie","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","wonton","","unknown-modifier-token",""
"Pyro Torque","pyro-torque","footbagmoves","footbagmoves","pyro torque","torque","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","pyro","","unknown-modifier-token",""
"Quantum Weaving Butterfly","quantum-weaving-butterfly","footbagmoves","footbagmoves","quantum weaving butterfly","butterfly","quantum|weaving","quantum(+1) + weaving(+1) + butterfly(3) = 5","5","deferred:chassis-substitution-required","medium","policy-dependent","True","False","False","true","false","","","parser-ambiguity",""
"Railing Butterfly","railing-butterfly","footbagmoves","footbagmoves","railing butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing Ducking Butterfly","railing-ducking-butterfly","footbagmoves","footbagmoves","railing ducking butterfly","butterfly","ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing Ducking Legover","railing-ducking-legover","footbagmoves","footbagmoves","railing ducking legover","legover","ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing Ducking Mirage","railing-ducking-mirage","footbagmoves","footbagmoves","railing ducking mirage","mirage","ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing Illusion","railing-illusion","footbagmoves","footbagmoves","railing illusion","illusion","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing Legover","railing-legover","footbagmoves","footbagmoves","railing legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing Mirage","railing-mirage","footbagmoves","footbagmoves","railing mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing ss Butterfly","railing-ss-butterfly","footbagmoves","footbagmoves","railing butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Railing ss Double Legover","railing-ss-double-legover","footbagmoves","footbagmoves","railing double legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing|double","","unknown-modifier-token",""
"Railing Symposium Mirage","railing-symposium-mirage","footbagmoves","footbagmoves","railing symposium mirage","mirage","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","railing","","unknown-modifier-token",""
"Rasmus / Skullsmasher","rasmus-skullsmasher","footbagmoves","footbagmoves","rasmus / skullsmasher","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","rasmus|skullsmasher","","folk-name-opacity",""
"Reverse Blender","reverse-blender","footbagmoves","footbagmoves","reverse blender","blender","","blender(4) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Reverse Swirl Dragon","reverse-swirl-dragon","footbagmoves","footbagmoves","reverse swirl dragon","swirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","dragon","","unknown-modifier-token",""
"Reverse Swirling Pickup","reverse-swirling-pickup","footbagmoves","footbagmoves","reverse swirling pickup","pickup","swirling","swirling(+1) + pickup(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Reverse Torque","reverse-torque","footbagmoves","footbagmoves","reverse torque","torque","","torque(4) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Sailing Butterfly","sailing-butterfly","footbagmoves","footbagmoves","sailing butterfly","sailing|butterfly","","sailing(2) = 2","2","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Sailing Gyro Pickup","sailing-gyro-pickup","footbagmoves","footbagmoves","sailing gyro pickup","sailing|pickup","gyro","gyro(+1) + sailing(2) = 3","3","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Sailing Mirage","sailing-mirage","footbagmoves","footbagmoves","sailing mirage","sailing|mirage","","sailing(2) = 2","2","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Sailing ss Butterfly","sailing-ss-butterfly","footbagmoves","footbagmoves","sailing butterfly","sailing|butterfly","","sailing(2) = 2","2","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Sailing ss Double Legover","sailing-ss-double-legover","footbagmoves","footbagmoves","sailing double legover","sailing|legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","ambiguous-terminal-mechanic",""
"Sailing Whirl","sailing-whirl","footbagmoves","footbagmoves","sailing whirl","sailing|whirl","","sailing(2) = 2","2","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Sasquatch / Warlock","sasquatch-warlock","footbagmoves","footbagmoves","sasquatch / warlock","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","sasquatch|warlock","","folk-name-opacity",""
"Shooting Eggbeater","shooting-eggbeater","footbagmoves","footbagmoves","shooting eggbeater","eggbeater","shooting","shooting(+3) + eggbeater(3) = 6","6","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Shooting Gyro Mirage","shooting-gyro-mirage","footbagmoves","footbagmoves","shooting gyro mirage","mirage","shooting|gyro","shooting(+3) + gyro(+1) + mirage(2) = 6","6","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Slapping Butterfly","slapping-butterfly","footbagmoves","footbagmoves","slapping butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","slapping","","unknown-modifier-token",""
"Slapping Mirage","slapping-mirage","footbagmoves","footbagmoves","slapping mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","slapping","","unknown-modifier-token",""
"Slapping Osis","slapping-osis","footbagmoves","footbagmoves","slapping osis","osis","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","slapping","","unknown-modifier-token",""
"Slicing Butterfly","slicing-butterfly","footbagmoves","footbagmoves","slicing butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","slicing","","unknown-modifier-token",""
"Smiling Far Butterfly","smiling-far-butterfly","footbagmoves","footbagmoves","smiling butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","smiling","","unknown-modifier-token",""
"Spinning Motion","spinning-motion","footbagmoves","footbagmoves","spinning motion","","spinning","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","motion","","ambiguous-terminal-mechanic",""
"Spinning Paradox Miraging Symposium Torque","spinning-paradox-miraging-symposium-torque","footbagmoves","footbagmoves","spinning paradox miraging symposium torque","torque","spinning|paradox|miraging|symposium","spinning(+1) + paradox(+1) + miraging(+1) + symposium(+1) + torque(4) = 8","8","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
