external_name,passback_formula,passback_add,ifpa_slug,ifpa_name,ifpa_formula,overlap_category,pending_red,observational_staging_recommended,notes
Whale Tail,Gryo DLO,2,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
What!?,"Butterfly Symp. Twisting near Toe, Butterfly Symp. Blink",2,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Whip,Rev. Whirl,1,rev-whirl,rev whirl,,agree_formula_name_differs,false,n,
Whirl,(downtime) leggy in dex>ss clipper,1,whirl,whirl,,agree_name_add_differs,false,n,
Whirlwalk,Whirling far Whirl,2,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Whirlwind,Spinning far Symp. Whirl,1,spinning-symposium-whirl,spinning symposium whirl,spinning symposium whirl,agree_formula_name_differs,false,n,
Whirlygig,Stepping far Symp. Whirl,2,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Whirr,double-dex Whirl,2,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Wrap,"Inside Stall moved to Clipper Stall, or reverse direction",,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Your Mom,"Atomic far Symp. Double Down, BS Fusion",3,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Your Sister,Full Symp Kiwi,,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
>,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Atomic DSO,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
ATW,,,around-the-world,Around the World,,agree_formula_name_differs,false,n,
Bladerunner,Atomic Eggbeater,,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Clipper,,,clipper,Clipper Kick,,agree_name_and_formula,false,n,
Contact,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
"Dex, Dexterity",,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
DLO,,,double-leg-over,double leg over,miraging legover,agree_formula_name_differs,false,n,
Double ATW,,,double-around-the-world,double around the world,,agree_formula_name_differs,false,n,
Double Orbit,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Double Pickup,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
DSO,Double Switchover,,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Eggbeater,Illusioning Legover,,eggbeater,eggbeater,atomic legover,agree_name_formula_differs,false,n,
Fairy Eggbeater,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Fairy Legover,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Fairy ss Legover,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Flip side,flip,,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Flurry,Barraging Legover,,flurry,flurry,barraging legover,agree_name_and_formula,false,n,
"Gyro, Spinning, Spinning Gyro, Double Spinning",,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Illusion,,,illusion,illusion,,agree_name_and_formula,false,n,
In(-Out) Dex,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Legover,,,legover,legover,,agree_name_and_formula,false,n,
Magellan,Pixie ss Legover,,magellan,magellan,pixie legover,agree_name_and_formula,false,n,
Mirage,,,mirage,mirage,,agree_name_and_formula,false,n,
Nagellam,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Orbit,,,orbit,Orbit,,agree_name_and_formula,false,n,
Out(-In) Dex,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Paradon Swirl,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Pickup,,,pickup,pickup,,agree_name_and_formula,false,n,
Pigbeater,Pixie op Eggbeater,,pigbeater,pigbeater,pixie eggbeater,agree_name_and_formula,false,n,
Pixie DSO,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Pixie op Toe,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Pixie ss Mirage,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Pixie ss Pickup,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
PLO,Pixie Legover,,magellan,magellan,pixie legover,agree_formula_name_differs,false,n,
Smear,Pixie op Mirage,,smear,smear,pixie mirage,agree_name_and_formula,false,n,
Smear>Fairy ss [Legover/Pickup],,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Smog,Pixie op DLO,,smog,smog,pixie double legover,agree_name_formula_differs,false,n,
Strong side,strong,,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Toe ss Symp Swirl,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Triple ATW,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
Triple Orbit,,,,,,passback_only_ifpa_missing,false,y,external lacks structural decomposition
