external_source,external_name,external_formula_or_description,external_add_if_known,ifpa_status,ifpa_slug_if_matched,ifpa_name_if_matched,ifpa_formula_if_matched,agreement_status,reason_not_covered,recommended_action,red_question_id_if_applicable,notes
footbagmoves,Whirl (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Zulu Legover,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Zulu Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Whirl,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Whirl (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,PS Illusion,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,PS Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pteradon,Toe set os Double Over Down Dragon,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Puck,Pixie Ducking Legover,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Quagmire,Quantum Gyro Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Quantum Butterfly (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Reverse Swirling Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Reverse Whirling Rake,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Revstein,Double Reverse Swirl,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Ripstein,Double Swirl,4,covered_exact,ripstein,ripstein,,name_agrees_formula_differs,,no_action,,
footbagmoves,Ripwalk,Stepping Far Butterfly,4,covered_exact,ripwalk,ripwalk,stepping butterfly,name_and_formula_agree,,no_action,,
footbagmoves,Royale,Paradox Grifter,4,covered_exact,royale,royale,paradox reverse drifter,name_agrees_formula_differs,,no_action,,
footbagmoves,Sidewalk,Stepping Butterfly (same side),4,covered_exact,sidewalk,sidewalk,stepping near butterfly,name_agrees_formula_differs,,no_action,,
footbagmoves,Slap,Slapping Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Slapdown,Slapping Butterfly,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Smog,Pixie Double Legover,4,covered_exact,smog,smog,pixie double legover,name_and_formula_agree,,no_action,,
footbagmoves,Smoke,Pixie Drifter,4,covered_exact,smoke,smoke,pixie drifter,name_and_formula_agree,,no_action,,
footbagmoves,Spinning Butterfly,,4,covered_exact,spinning-butterfly,spinning butterfly,spinning butterfly,name_and_formula_agree,,no_action,,
footbagmoves,Spinning Ducking Clipper,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Spinning Osis,,4,covered_exact,spinning-osis,spinning osis,spinning osis,name_and_formula_agree,,no_action,,
footbagmoves,Spinning Pdx Illusion,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Spinning Pdx Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Eggbeater (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Illusion (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Mirage (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Osis,,4,covered_exact,stepping-osis,stepping osis,stepping osis,name_and_formula_agree,,no_action,,
footbagmoves,Stepping Osis (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Swifter,Drifter Swirl,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Symp Whirl,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symp Whirl,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symp Whirl (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symposium Eggbeater,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Tap Dance,Pixie ss Original Tap,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Tapdown,Tapping Butterfly,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Tombstone,Stepping Drifter (same side),4,covered_exact,tombstone,tombstone,,name_agrees_formula_differs,,no_action,,
footbagmoves,Torque,Miraging Osis,4,covered_exact,torque,torque,miraging osis,name_and_formula_agree,,no_action,,
footbagmoves,Torque (same side),Miraging Osis,4,covered_formula_equivalent,torque,torque,miraging osis,name_diff_formula_agrees,,no_action,,
footbagmoves,Torus,Fyro Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Tremor,Tapping Drifter,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Triple ATW in-out,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Triple ATW out-in,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Tripwalk,Quantum Butterfly,4,covered_exact,tripwalk,tripwalk,stepping quantum butterfly,name_agrees_formula_differs,,no_action,,
footbagmoves,Twirl,Reverse Swirling Osis,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Vortex,Gyro Drifter,4,covered_exact,vortex,vortex,gyro drifter,name_and_formula_agree,,no_action,,
footbagmoves,Wahnsinn,Pixie Ducking Spinning Toe,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Weaving Butterfly,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Weaving Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Weaving Whirl,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Whale Tail,Surging Legover,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,What!?,Butterflying Symposium Reverse Swirling Toe,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Whirling far Butterfly,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Whirling pdx Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Whirling Rake,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Whirling Swirl,,4,covered_exact,whirling-swirl,whirling swirl,,name_and_formula_agree,,no_action,,
footbagmoves,Whirr,Double Whirl,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Witchdoctor,Atomic Symposium Mirage,4,covered_exact,witchdoctor,witchdoctor,atomic symposium mirage,name_and_formula_agree,,no_action,,
footbagmoves,Zig Zag,Swirling Reverse Swirl,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Zipwalk,Zipper Stepping Op Butterfly Zipper,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Zulu Le Loup,Zulu Butterfly,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Zulu Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Trixie,Triple Pixie,5,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Trochus,Atomic Flail,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Tutifruti,Frootie Legover,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Vertigo,Ducking Paradox Drifter,5,missing_needs_red,,,,ifpa_missing,hidden-branch-family candidate; Wave 2-dependent on operator boundary,queue_post_red,,
footbagmoves,Wentletrappe,Fyro Double Legover,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Whirlwalk,Blazing Paradox Whirl,5,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Whisk,Paradox Symposium Eggbeater,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Yoda,Pixie Quantum Butterfly,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Zulu Whirl,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,69,Nuclear Drifter,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Anoxia,Spinning Ducking Paradox Symposium Mirage,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Arch Nemesis,Barraging ss Double Double Down,6,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Atom Bomb,Flailing Symposium Mirage,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Big Apple,Gyro Symposium Torque,6,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Bill & Ted`s Bogus Journey,Flailing ss Symposium Double Legover,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Blurrage,Blurry Barrage,6,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Colossus,Spyro Diving Symposium Whirl,6,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Compound Fracture,Railing ss Double Legover,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Cristal,Quantum Ducking Whirl,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Croissant,Pixie Symposium Whirling Swirl,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Cyborg,Stepping Ducking Far Butterfly Swirl,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Dorshatrix,Railing Mirage,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Downward Spiral,Phasing ss Dyno,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Dwirl,Double Twirl,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Ego,Atomic Ducking Whirl,6,missing_needs_red,,,,ifpa_missing,hidden-branch-family candidate; Wave 2-dependent on operator boundary,queue_post_red,,
footbagmoves,Fairy Tale,Fairy Spinning Double Over Down,6,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fender Bender,Fairy Ducking Blender,6,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fission,Furious Illusion,6,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Food Processor,Blurry Blender,6,covered_exact,food-processor,food processor,blurry blender | stepping paradox blender,name_and_formula_agree,,no_action,,
footbagmoves,Forquelift,Fairy Ducking Torque,6,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fury,Furious Mirage,6,covered_exact,fury,fury,,add_differs,,no_action,,
footbagmoves,Gary Coleman,Atomic Symposium Whirl,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Golden Shower,Blurry Ducking Eggbeater,6,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Heart,Pixie Quantum Double Over Down Swirl,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Ill Frenzy,Frootie Illusion,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Irish Cream,Neutron Torque,6,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Johny Vodka,Pyro Torque,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Juno Reactor,Sailing Whirl,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Kill Frenzy,Frootie Mirage,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Kiss Of The Scorpion,Pixie Spinning Double Over Down,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Kiwi,Tapping Double Over Down,6,missing_insufficient_evidence,,,,ifpa_missing,folk-derived; no mechanical decomposition,leave_or_pill,,
footbagmoves,Leviathan,Stepping Ducking Far Double Over Down,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Locomotion,Stepping Far Motion,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Maelstrom,Spinning Ducking Paradox Whirl,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Marius,Spinning Paradox Torque,6,covered_alias,spinning-torque,spinning torque,spinning torque,add_differs,,no_action,,
footbagmoves,Massacre,Bubba Paradox Flail,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Mind Bender,Ducking Paradox Blender,6,covered_exact,mind-bender,mind bender,ducking paradox blender,name_and_formula_agree,,no_action,,
footbagmoves,Moby Dick,Gyro Torquescrew,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Mofly,Miraging Symposium Double Over Down,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Morpheus,Spinning Ducking Paradox Drifter,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Motion Sickness,Spinning Motion,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Mullet,Ducking Paradox Symposium Whirl,6,covered_exact,mullet,mullet,,name_agrees_formula_differs,,no_action,,
footbagmoves,Nemesis,Barraging Barfly,6,covered_exact,nemesis,nemesis,furious barfly,name_agrees_formula_differs,,no_action,,
footbagmoves,Omelette Du Fromage,Railing Illusion,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Orpheus,Toe set ss Triple Over Down,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Paratoxic,Paradox Toxic,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Phobia,Fyro Torque,6,missing_needs_red,,,,ifpa_missing,hidden-branch-family candidate; Wave 2-dependent on operator boundary,queue_post_red,,
footbagmoves,Quark,Quantum Torque,6,missing_needs_red,,,,ifpa_missing,hidden-branch-family candidate; Wave 2-dependent on operator boundary,queue_post_red,,
footbagmoves,Raildown,Railing ss Butterfly,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Railwalk,Railing Butterfly,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Ropaduleo,Railing Ducking Legover,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,S&M Smasher,Atomic Barrage,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Slapstick,Pixie Spinning Paradox Whirl,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Smashwalk,Atomic Miraging Butterfly,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Spender,Spinning Paradox Blender,6,covered_exact,spender,spender,spinning paradox blender,name_and_formula_agree,,no_action,,
footbagmoves,Stepping Ducking DLO,,6,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Pdx Torque,,6,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Sumo Thong,Nuclear Ducking Mirage,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Superduperfly,Spinning Symposium Double Over Down,6,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Surgery,Surging Symposium Reverse Whirl,6,covered_exact,surgery,surgery,surging symposium reverse whirl,name_and_formula_agree,,no_action,,
footbagmoves,Surreal,Surging Paradox Whirl,6,covered_exact,surreal,surreal,surging paradox whirl,name_and_formula_agree,,no_action,,
footbagmoves,Terminator,Nuclear Double Legover,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Timberwulff,Leaning Torque,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Tofu,Quantum Blender,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Torch-r Rack,Stepping Superfly,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Triadon,Toe set os Triple Over Down,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Triage,Triple Mirage,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Trifly,Far Triple Over Down,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Tunguska,Atomic Ducking Double Legover,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Venom,Surging Barfly,6,covered_exact,venom,venom,surging barfly,name_and_formula_agree,,no_action,,
footbagmoves,Voodoo,Paradox Merlin,6,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Whirlwind,Spinning Paradox Symposium Whirl,6,covered_alias,spinning-symposium-whirl,spinning symposium whirl,spinning symposium whirl,add_differs,,no_action,,
footbagmoves,Whirlygig,Blurry Symposium Whirl,6,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Wookie,Pixie Wonton Butterfly,6,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,84,Wiggle Butterfly,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Aeon Flux,Nuclear Osis,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Amadeus,Gyro Dada Curve,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Arachnophobia,Stepping Diving Double Legover,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Atomic DLO,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomic Drifter,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Avalanche,Stepping Ducking Pdx Illusion,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Barroque,Barraging Osis,5,covered_alias,barraging-osis,barraging osis,,name_diff_formula_agrees,,no_action,,
footbagmoves,Bedwetter,Blurry Eggbeater,5,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Bigwalk,Surging Butterfly,5,covered_exact,bigwalk,bigwalk,surging butterfly,name_and_formula_agree,,no_action,,
footbagmoves,Blacula,Symposium Double Over Down,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Bladerunner,Atomic Eggbeater,5,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Blurrier,Stepping Double Over Down,5,missing_insufficient_evidence,,,,ifpa_missing,folk-derived; no mechanical decomposition,leave_or_pill,,
footbagmoves,Blurriest,Stepping Barfly,5,covered_exact,blurriest,blurriest,,name_agrees_formula_differs,,no_action,,
footbagmoves,Blurry Drifter,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Blurry Whirl,,5,covered_exact,blurry-whirl,blurry whirl,blurry whirl | stepping paradox whirl,name_and_formula_agree,,no_action,,
footbagmoves,Boulderbeater,Quantum Eggbeater,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Bullwhip,Gyro Double Over Down,5,covered_exact,bullwhip,bullwhip,,name_agrees_formula_differs,,no_action,,
footbagmoves,Cataclysm,Neutron Double Legover,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Conniption City,Quantum Symposium Mirage,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Croxton,Jolimont ss Mirage,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Cyclone,Shooting Gyro Mirage,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Dark Avenue,Fairy Diving Butterfly,5,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Darkwalk,Pixie Diving Butterfly,5,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Desien,Sailing Butterfly,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Dolomite,Symposium Paradon,5,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Dominatrix,Sailing Mirage,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Double Helix,Symposium Reverse Whirling Swirl,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Double Spinning Rake,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Down Diver,Diving Down Double Down,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Ducking PS Illusion,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Ducking PS Mirage,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,E-Walk,Frantic Butterfly,5,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Fairy Ducking Butterfly,,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Torque (same side),,5,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fender,Fairy Blender,5,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Firewalk,Flaring Butterfly,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Flurricane,Gyro Flurry,5,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Fog,Blurry Double Legover,5,covered_exact,fog,fog,,name_agrees_formula_differs,,no_action,,
footbagmoves,Forque,Fairy Torque,5,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fracture,Sailing ss Double Legover,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Frankenstein,Phasing ss Swirl,5,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Frenzy,Frantic Mirage,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Fusion,Atomic Double Over Down,5,covered_exact,fusion,fusion,atomic double over down,name_and_formula_agree,,no_action,,
footbagmoves,G.Y.B.A.S.,Stepping Far Dyno,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Gilan,Pixie Gyro Double Legover,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Godzilla,Nuclear ss Dyno,5,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Goliath,Pixie Ducking Double Legover,5,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
