canonical_slug,source_slug,source_name,source_system,source_subsystem,source_record_id,publication_status,official_add,fm_formula_raw,fm_job_raw,fm_add_claim,fm_technical_name,fm_aliases_raw,fm_source_file,fborg_formula_raw,fborg_job_raw,fborg_add_claim,fborg_description_raw,fborg_source_file,passback_reading_raw,passback_add_claim,passback_uptime,passback_downtime,passback_dex_count,passback_alternate_names,stanford_symbolic,stanford_components,notation_primary,notation_primary_system,operational_notation,operational_notation_convention,add_formula_primary,add_formula_convention,source_add_claim,source_add_system,add_gap,parser_status,promotion_readiness,blocker_notes,curator_notes
mind-bender,mind-bender,Mind Bender,fm_inventory,footbagmoves_inventory,fm__mind-bender__add6,fm_corpus_entry,6,Clip >> Duck (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Clip >> Duck (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),6,Ducking Paradox Blender,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> Duck (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_set_arc,Clip >> Duck (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
moby-dick,moby-dick,Moby Dick,fm_inventory,footbagmoves_inventory,fm__moby-dick__add6,fm_corpus_entry,,Clip >> (back) Spin (BOD) >> Same In (DEX) > Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> Same In (DEX) > Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),6,Gyro Torquescrew,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> (back) Spin (BOD) >> Same In (DEX) > Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_set_arc,Clip >> (back) Spin (BOD) >> Same In (DEX) > Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
mofly,mofly,Mofly,fm_inventory,footbagmoves_inventory,fm__mofly__add6,fm_corpus_entry,,Clip >> Op In (DEX) > (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip >> Op In (DEX) > (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),6,Miraging Symposium Double Over Down,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> Op In (DEX) > (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Clip >> Op In (DEX) > (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
morpheus,morpheus,Morpheus,fm_inventory,footbagmoves_inventory,fm__morpheus__add6,fm_corpus_entry,,Clip >> (back) Spin (BOD) > Duck (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL),Clip >> (back) Spin (BOD) > Duck (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL),6,Spinning Ducking Paradox Drifter,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> (back) Spin (BOD) > Duck (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL),fm_set_arc,Clip >> (back) Spin (BOD) > Duck (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
motion-sickness,motion-sickness,Motion Sickness,fm_inventory,footbagmoves_inventory,fm__motion-sickness__add6,fm_corpus_entry,,Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),6,Spinning Motion,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_set_arc,Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
mullet,mullet,Mullet,fm_inventory,footbagmoves_inventory,fm__mullet__add6,fm_corpus_entry,6,Clip >> Duck (BOD) >> (no plant while) Same Front Whirl (DEX)(PDX)(BOD) > Op Clip (XBD)(DEL),Clip >> Duck (BOD) >> (no plant while) Same Front Whirl (DEX)(PDX)(BOD) > Op Clip (XBD)(DEL),6,Ducking Paradox Symposium Whirl,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> Duck (BOD) >> (no plant while) Same Front Whirl (DEX)(PDX)(BOD) > Op Clip (XBD)(DEL),fm_set_arc,Clip >> Duck (BOD) >> (no plant while) Same Front Whirl (DEX)(PDX)(BOD) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
nemesis,nemesis,Nemesis,fm_inventory,footbagmoves_inventory,fm__nemesis__add6,fm_corpus_entry,6,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),6,Barraging Barfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
omelette-du-fromage,omelette-du-fromage,Omelette Du Fromage,fm_inventory,footbagmoves_inventory,fm__omelette-du-fromage__add6,fm_corpus_entry,,Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),6,Railing Illusion,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),fm_set_arc,Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
orpheus,orpheus,Orpheus,fm_inventory,footbagmoves_inventory,fm__orpheus__add6,fm_corpus_entry,,Toe >> Same Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Toe >> Same Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),6,Toe set ss Triple Over Down,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe >> Same Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Toe >> Same Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
paratoxic,paratoxic,Paratoxic,fm_inventory,footbagmoves_inventory,fm__paratoxic__add6,fm_corpus_entry,,Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL),Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL),6,Paradox Toxic,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL),fm_set_arc,Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
phobia,phobia,Phobia,fm_inventory,footbagmoves_inventory,fm__phobia__add6,fm_corpus_entry,,Toe > Same Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),Toe > Same Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),6,Fyro Torque,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Same Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),fm_set_arc,Toe > Same Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
quark,quark,Quark,fm_inventory,footbagmoves_inventory,fm__quark__add6,fm_corpus_entry,,Toe > Op In (DEX) >> Op In (DEX)(XDEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),Toe > Op In (DEX) >> Op In (DEX)(XDEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),6,Quantum Torque,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Op In (DEX) >> Op In (DEX)(XDEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),fm_set_arc,Toe > Op In (DEX) >> Op In (DEX)(XDEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
raildown,raildown,Raildown,fm_inventory,footbagmoves_inventory,fm__raildown__add6,fm_corpus_entry,,Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),6,Railing ss Butterfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
railwalk,railwalk,Railwalk,fm_inventory,footbagmoves_inventory,fm__railwalk__add6,fm_corpus_entry,,Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX),Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX),6,Railing Butterfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX),fm_set_arc,Toe > (rooted) Same In (DEX)(BOD) > Op Out (DEX),fm_parens,,,6,fm_inventory_claim,,,,,
ropaduleo,ropaduleo,Ropaduleo,fm_inventory,footbagmoves_inventory,fm__ropaduleo__add6,fm_corpus_entry,,Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL),Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL),6,Railing Ducking Legover,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL),fm_set_arc,Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
s-m-smasher,s-m-smasher,S&M Smasher,fm_inventory,footbagmoves_inventory,fm__s-m-smasher__add6,fm_corpus_entry,,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Same In (DEX)(XDEX) > Op Toe (DEL),Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Same In (DEX)(XDEX) > Op Toe (DEL),6,Atomic Barrage,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Same In (DEX)(XDEX) > Op Toe (DEL),fm_set_arc,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Same In (DEX)(XDEX) > Op Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
slapstick,slapstick,Slapstick,fm_inventory,footbagmoves_inventory,fm__slapstick__add6,fm_corpus_entry,,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),6,Pixie Spinning Paradox Whirl,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),fm_set_arc,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
smashwalk,smashwalk,Smashwalk,fm_inventory,footbagmoves_inventory,fm__smashwalk__add6,fm_corpus_entry,,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Op Clip (XBD)(DEL),Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Op Clip (XBD)(DEL),6,Atomic Miraging Butterfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
spender,spender,Spender,fm_inventory,footbagmoves_inventory,fm__spender__add6,fm_corpus_entry,6,Clip >> (back) Spin (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),6,Spinning Paradox Blender,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> (back) Spin (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_set_arc,Clip >> (back) Spin (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
stepping-ducking-dlo,stepping-ducking-dlo,Stepping Ducking DLO,fm_inventory,footbagmoves_inventory,fm__stepping-ducking-dlo__add6,fm_corpus_entry,,,,6,,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,,,,,,,6,fm_inventory_claim,,,,,
stepping-pdx-torque,stepping-pdx-torque,Stepping Pdx Torque,fm_inventory,footbagmoves_inventory,fm__stepping-pdx-torque__add6,fm_corpus_entry,,,,6,,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,,,,,,,6,fm_inventory_claim,,,,,
sumo-thong,sumo-thong,Sumo Thong,fm_inventory,footbagmoves_inventory,fm__sumo-thong__add6,fm_corpus_entry,,Clip > Same Out (DEX)(PDX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Toe (DEL),Clip > Same Out (DEX)(PDX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Toe (DEL),6,Nuclear Ducking Mirage,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > Same Out (DEX)(PDX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Toe (DEL),fm_set_arc,Clip > Same Out (DEX)(PDX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
superduperfly,superduperfly,Superduperfly,fm_inventory,footbagmoves_inventory,fm__superduperfly__add6,fm_corpus_entry,,Clip >> (back) Spin (BOD) >> (no plant while) Op Out (DEX)(BOD) > Op Out (DEX) > Op Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> (no plant while) Op Out (DEX)(BOD) > Op Out (DEX) > Op Clip (XBD)(DEL),6,Spinning Symposium Double Over Down,Poisonous Toe,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> (back) Spin (BOD) >> (no plant while) Op Out (DEX)(BOD) > Op Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Clip >> (back) Spin (BOD) >> (no plant while) Op Out (DEX)(BOD) > Op Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
surgery,surgery,Surgery,fm_inventory,footbagmoves_inventory,fm__surgery__add6,fm_corpus_entry,6,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),6,Surging Symposium Reverse Whirl,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),fm_set_arc,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
surreal,surreal,Surreal,fm_inventory,footbagmoves_inventory,fm__surreal__add6,fm_corpus_entry,6,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),6,Surging Paradox Whirl,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),fm_set_arc,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
terminator,terminator,Terminator,fm_inventory,footbagmoves_inventory,fm__terminator__add6,fm_corpus_entry,,Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),6,Nuclear Double Legover,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),fm_set_arc,Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
timberwulff,timberwulff,Timberwulff,fm_inventory,footbagmoves_inventory,fm__timberwulff__add6,fm_corpus_entry,,Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),6,Leaning Torque,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),fm_set_arc,Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
tofu,tofu,Tofu,fm_inventory,footbagmoves_inventory,fm__tofu__add6,fm_corpus_entry,,Toe > Op In (DEX) >> Op Front Whirl (DEX)(XDEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Toe > Op In (DEX) >> Op Front Whirl (DEX)(XDEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),6,Quantum Blender,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Op In (DEX) >> Op Front Whirl (DEX)(XDEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_set_arc,Toe > Op In (DEX) >> Op Front Whirl (DEX)(XDEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
torch-r-rack,torch-r-rack,Torch-r Rack,fm_inventory,footbagmoves_inventory,fm__torch-r-rack__add6,fm_corpus_entry,,Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),6,Stepping Superfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
triadon,triadon,Triadon,fm_inventory,footbagmoves_inventory,fm__triadon__add6,fm_corpus_entry,,Toe >> Op Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Toe >> Op Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),6,Toe set os Triple Over Down,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe >> Op Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Toe >> Op Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
triage,triage,Triage,fm_inventory,footbagmoves_inventory,fm__triage__add6,fm_corpus_entry,,Toe >> Op In (DEX) > Same In (DEX)(XDEX) >> Same In (DEX)(XDEX) > Op Toe (DEL),Toe >> Op In (DEX) > Same In (DEX)(XDEX) >> Same In (DEX)(XDEX) > Op Toe (DEL),6,Triple Mirage,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe >> Op In (DEX) > Same In (DEX)(XDEX) >> Same In (DEX)(XDEX) > Op Toe (DEL),fm_set_arc,Toe >> Op In (DEX) > Same In (DEX)(XDEX) >> Same In (DEX)(XDEX) > Op Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
trifly,trifly,Trifly,fm_inventory,footbagmoves_inventory,fm__trifly__add6,fm_corpus_entry,,Clip >> Same Out (DEX) >> Same Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip >> Same Out (DEX) >> Same Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),6,Far Triple Over Down,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> Same Out (DEX) >> Same Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Clip >> Same Out (DEX) >> Same Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
tunguska,tunguska,Tunguska,fm_inventory,footbagmoves_inventory,fm__tunguska__add6,fm_corpus_entry,,Toe > Op Out (DEX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),Toe > Op Out (DEX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),6,Atomic Ducking Double Legover,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Op Out (DEX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),fm_set_arc,Toe > Op Out (DEX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
venom,venom,Venom,fm_inventory,footbagmoves_inventory,fm__venom__add6,fm_corpus_entry,6,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),6,Surging Barfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,0,,,,
voodoo,voodoo,Voodoo,fm_inventory,footbagmoves_inventory,fm__voodoo__add6,fm_corpus_entry,,Clip >> Same In (DEX)(PDX) > (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),Clip >> Same In (DEX)(PDX) > (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),6,Paradox Merlin,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> Same In (DEX)(PDX) > (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),fm_set_arc,Clip >> Same In (DEX)(PDX) > (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),fm_parens,,,6,fm_inventory_claim,,,,,
whirlwind,whirlwind,Whirlwind,fm_inventory,footbagmoves_inventory,fm__whirlwind__add6,fm_corpus_entry,,Clip >> (back) Spin (BOD) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),6,Spinning Paradox Symposium Whirl,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip >> (back) Spin (BOD) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),fm_set_arc,Clip >> (back) Spin (BOD) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
whirlygig,whirlygig,Whirlygig,fm_inventory,footbagmoves_inventory,fm__whirlygig__add6,fm_corpus_entry,,Clip > Op In (DEX) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),6,Blurry Symposium Whirl,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Clip > Op In (DEX) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),fm_set_arc,Clip > Op In (DEX) >> (no plant while) Op Front Whirl (DEX)(BOD)(PDX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
wookie,wookie,Wookie,fm_inventory,footbagmoves_inventory,fm__wookie__add6,fm_corpus_entry,,Toe > Same In (DEX) > (no plant while) Op In (DEX)(BOD) >> Op Out (DEX) > Op Clip (XBD)(DEL),Toe > Same In (DEX) > (no plant while) Op In (DEX)(BOD) >> Op Out (DEX) > Op Clip (XBD)(DEL),6,Pixie Wonton Butterfly,,footbagmoves-5-6adds.txt,,,,,,,,,,,,,,Toe > Same In (DEX) > (no plant while) Op In (DEX)(BOD) >> Op Out (DEX) > Op Clip (XBD)(DEL),fm_set_arc,Toe > Same In (DEX) > (no plant while) Op In (DEX)(BOD) >> Op Out (DEX) > Op Clip (XBD)(DEL),fm_parens,,,6,fm_inventory_claim,,,,,
