slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
bubba-ps-eggbeater,Bubba PS Eggbeater,Bubba PS Eggbeater,#bubba_ps_eggbeater,stanford_only_unpublished,,,,,,missing,,,,X.-0-!0-0+Z,X.-0-!0-0+Z,"[""clipper-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
bubba-ss-mirage,Bubba ss Mirage,Bubba ss Mirage,#bubba_ss_mirage,stanford_only_unpublished,,,,,,missing,,,,X-0_.+1-Z,X-0_.+1-Z,"[""clipper-set"", ""opposite-side"", ""out-in-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-dragon,Butterfly Dragon,Butterfly Dragon,#butterfly_dragon,stanford_only_unpublished,,,,,,missing,,,,*. 0-D,*.0-D,"[""any-set"", ""peak"", ""out-in-dex"", ""opposite-side"", ""dragon-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-flapper,Butterfly Flapper,Butterfly Flapper,#butterfly_flapper,stanford_only_unpublished,,,,,,missing,,,,Z.-0-S,Z.-0-S,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""sole""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-gyro-toe,Butterfly Gyro Toe,Butterfly Gyro Toe,#butterfly_gyro_toe,stanford_only_unpublished,,,,,,missing,,,,*. 0\-Z,*.0\-Z,"[""any-set"", ""peak"", ""out-in-dex"", ""backward-spin"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-kick,Butterfly Kick,Butterfly Kick,#butterfly_kick,stanford_only_unpublished,,,,,,missing,,,,*. 0-!X,*.0-!X,"[""any-set"", ""peak"", ""out-in-dex"", ""opposite-side"", ""no-plant-while"", ""clipper-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-reverse-swirl,Butterfly Reverse Swirl,Butterfly Reverse Swirl,#butterfly_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,Z.-0-6+X,Z.-0-6+X,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-swirl,Butterfly Swirl,Butterfly Swirl,#butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,Z.-0-6+X,Z.-0-6+X,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-swivel,Butterfly Swivel,Butterfly Swivel,#butterfly_swivel,stanford_only_unpublished,,,,,,missing,,,,Z.-0-!9\-X,Z.-0-!9\-X,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-symposium-reverse-swirling-pickup,Butterfly Symposium Reverse Swirling Pickup,Butterfly Symposium Reverse Swirling Pickup,#butterfly_symposium_reverse_swirling_pickup,stanford_only_unpublished,,,,,,missing,,,,Z.-0-!9-1+Z,Z.-0-!9-1+Z,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""no-plant-while"", ""front-dex-reverse-swirl"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-twirl,Butterfly Twirl,Butterfly Twirl,#butterfly_twirl,stanford_only_unpublished,,,,,,missing,,,,Z-0-9\-X,Z-0-9\-X,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""front-dex-reverse-swirl"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
butterfly-xbd-rake,Butterfly XBD Rake,Butterfly XBD Rake,#butterfly_xbd_rake,stanford_only_unpublished,,,,,,missing,,,,Z.-0-xR,Z.-0-xR,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""crossbody-rake""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
crossbody-rake,Crossbody Rake,Crossbody Rake,#crossbody_rake,stanford_only_unpublished,,,,,,missing,,,,*.+xR,*.+xR,"[""any-set"", ""peak"", ""same-side"", ""crossbody-rake""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
delusional-butterfly,Delusional Butterfly,Delusional Butterfly,#delusional_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z-0+0.-0-X,Z-0+0.-0-X,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-butterfly,Diving Butterfly,Diving Butterfly,#diving_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z&+0-X,Z&+0-X,"[""toe-set"", ""dive"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-clipper,Diving Clipper,Diving Clipper,#diving_clipper,stanford_only_unpublished,,,,,,missing,,,,Z&-X,Z&-X,"[""toe-set"", ""dive"", ""opposite-side"", ""clipper-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-ddd,Diving DDD,Diving DDD,#diving_ddd,stanford_only_unpublished,,,,,,missing,,,,X&-0+0-X,X&-0+0-X,"[""clipper-set"", ""dive"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-drifter,Diving Drifter,Diving Drifter,#diving_drifter,stanford_only_unpublished,,,,,,missing,,,,Z&+1+X,Z&+1+X,"[""toe-set"", ""dive"", ""same-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-eclipse,Diving Eclipse,Diving Eclipse,#diving_eclipse,stanford_only_unpublished,,,,,,missing,,,,Z&+!L-0_,Z&+!L-0_,"[""toe-set"", ""dive"", ""same-side"", ""no-plant-while"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""plant""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-guay,Diving Guay,Diving Guay,#diving_guay,stanford_only_unpublished,,,,,,missing,,,,Z&+1+L,Z&+1+L,"[""toe-set"", ""dive"", ""same-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-illusion,Diving Illusion,Diving Illusion,#diving_illusion,stanford_only_unpublished,,,,,,missing,,,,Z&+0-Z,Z&+0-Z,"[""toe-set"", ""dive"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-legover,Diving Legover,Diving Legover,#diving_legover,stanford_only_unpublished,,,,,,missing,,,,Z&+0+Z,Z&+0+Z,"[""toe-set"", ""dive"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-mirage,Diving Mirage,Diving Mirage,#diving_mirage,stanford_only_unpublished,,,,,,missing,,,,Z&+1-Z,Z&+1-Z,"[""toe-set"", ""dive"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-osis,Diving Osis,Diving Osis,#diving_osis,stanford_only_unpublished,,,,,,missing,,,,Z&\+X,Z&\+X,"[""toe-set"", ""dive"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-pickup,Diving Pickup,Diving Pickup,#diving_pickup,stanford_only_unpublished,,,,,,missing,,,,Z&+1+Z,Z&+1+Z,"[""toe-set"", ""dive"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-reverse-guay,Diving Reverse Guay,Diving Reverse Guay,#diving_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,Z&+0+L,Z&+0+L,"[""toe-set"", ""dive"", ""same-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-reverse-swirl,Diving Reverse Swirl,Diving Reverse Swirl,#diving_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,Z&-9+X,Z&-9+X,"[""toe-set"", ""dive"", ""opposite-side"", ""front-dex-reverse-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-swirl,Diving Swirl,Diving Swirl,#diving_swirl,stanford_only_unpublished,,,,,,missing,,,,Z&-6+X,Z&-6+X,"[""toe-set"", ""dive"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-symposium-mirage,Diving Symposium Mirage,Diving Symposium Mirage,#diving_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,Z&+!1-Z,Z&+!1-Z,"[""toe-set"", ""dive"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-symposium-whirl,Diving Symposium Whirl,Diving Symposium Whirl,#diving_symposium_whirl,stanford_only_unpublished,,,,,,missing,,,,Z&+!1-X,Z&+!1-X,"[""toe-set"", ""dive"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
diving-toe-stall,Diving Toe Stall,Diving Toe Stall,#diving_toe_stall,stanford_only_unpublished,,,,,,missing,,,,*&+Z,*&+Z,"[""any-set"", ""dive"", ""same-side"", ""toe-set""]",true,,,2,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
dod-osis,DOD Osis,DOD Osis,#dod_osis,stanford_only_unpublished,,,,,,missing,,,,Z.+0+0\+X,Z.+0+0\+X,"[""toe-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
dod-reverse-swirl,DOD Reverse Swirl,DOD Reverse Swirl,#dod_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,Z.+0+0-9+X,Z.+0+0-9+X,"[""toe-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""front-dex-reverse-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
dod-swirl,DOD Swirl,DOD Swirl,#dod_swirl,stanford_only_unpublished,,,,,,missing,,,,Z.+0+0-6+X,Z.+0+0-6+X,"[""toe-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-blender,Double Blender,Double Blender,#double_blender,stanford_only_unpublished,,,,,,missing,,,,*.-1+1\+X,*.-1+1\+X,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-bubba,Double Bubba,Double Bubba,#double_bubba,stanford_only_unpublished,,,,,,missing,,,,X.-0+0-Z,X.-0+0-Z,"[""clipper-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-butterfly-dragon,Double Butterfly Dragon,Double Butterfly Dragon,#double_butterfly_dragon,stanford_only_unpublished,,,,,,missing,,,,Z.-0+0-D,Z.-0+0-D,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""dragon-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-drifter,Double Drifter,Double Drifter,#double_drifter,stanford_only_unpublished,,,,,,missing,,,,X.-1+1+X,X.-1+1+X,"[""clipper-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-fairy,Double Fairy,Double Fairy,#double_fairy,stanford_only_unpublished,,,,,,missing,,,,Z+0+0.-Z,Z+0+0.-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-guay,Double Guay,Double Guay,#double_guay,stanford_only_unpublished,,,,,,missing,,,,*.-1+1+L,*.-1+1+L,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-illusion,Double Illusion,Double Illusion,#double_illusion,stanford_only_unpublished,,,,,,missing,,,,Z.-0+0-Z,Z.-0+0-Z,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-over-down,Double Over Down,Double Over Down,#double_over_down,stanford_only_unpublished,,,,,,missing,,,,Z.+0+0-X,Z.+0+0-X,"[""toe-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-pickup,Double Pickup,Double Pickup,#double_pickup,stanford_only_unpublished,,,,,,missing,,,,*.-1+1+Z,*.-1+1+Z,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-reverse-atw,Double Reverse ATW,Double Reverse ATW,#double_reverse_atw,stanford_only_unpublished,,,,,,missing,,,,Z.+0+0+Z,Z.+0+0+Z,"[""toe-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-reverse-guay,Double Reverse Guay,Double Reverse Guay,#double_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,Z.-0+0+L,Z.-0+0+L,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-reverse-swirl,Double Reverse Swirl,Double Reverse Swirl,#double_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,X.+9+9+X,X.+9+9+X,"[""clipper-set"", ""peak"", ""same-side"", ""front-dex-reverse-swirl"", ""same-side"", ""front-dex-reverse-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-spinning-double-down,Double Spinning Double Down,Double Spinning Double Down,#double_spinning_double_down,stanford_only_unpublished,,,,,,missing,,,,X.\/-0+0-X,X.\/-0+0-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""forward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-spinning-osis,Double Spinning Osis,Double Spinning Osis,#double_spinning_osis,stanford_only_unpublished,,,,,,missing,,,,X.\//-X,X.\//-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""forward-spin"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-spinning-whirl,Double Spinning Whirl,Double Spinning Whirl,#double_spinning_whirl,stanford_only_unpublished,,,,,,missing,,,,X.\/-1-X,X.\/-1-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""forward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-swirling-dragon,Double Swirling Dragon,Double Swirling Dragon,#double_swirling_dragon,stanford_only_unpublished,,,,,,missing,,,,X.+6+6+D,X.+6+6+D,"[""clipper-set"", ""peak"", ""same-side"", ""back-dex-swirl"", ""same-side"", ""back-dex-swirl"", ""same-side"", ""dragon-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-switchover,Double Switchover,Double Switchover,#double_switchover,stanford_only_unpublished,,,,,,missing,,,,Z.-0+0+Z,Z.-0+0+Z,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-twirl,Double Twirl,Double Twirl,#double_twirl,stanford_only_unpublished,,,,,,missing,,,,X.+9+9\-X,X.+9+9\-X,"[""clipper-set"", ""peak"", ""same-side"", ""front-dex-reverse-swirl"", ""same-side"", ""front-dex-reverse-swirl"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-wauxpin,Double Wauxpin,Double Wauxpin,#double_wauxpin,stanford_only_unpublished,,,,,,missing,,,,*. 0+0\-Z,*.0+0\-Z,"[""any-set"", ""peak"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""backward-spin"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-whirl,Double Whirl,Double Whirl,#double_whirl,stanford_only_unpublished,,,,,,missing,,,,*.-1+1-X,*.-1+1-X,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
double-whirling-swirl,Double Whirling Swirl,Double Whirling Swirl,#double_whirling_swirl,stanford_only_unpublished,,,,,,missing,,,,X.-1+1-6+X,X.-1+1-6+X,"[""clipper-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
down-double-down,Down Double-Down,Down Double-Down,#down_double_down,stanford_only_unpublished,,,,,,missing,,,,X.-0+0-X,X.-0+0-X,"[""clipper-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
dragon,Dragon,Dragon,#dragon,stanford_only_unpublished,,,,,,missing,,,,*. D,*.D,"[""any-set"", ""peak"", ""dragon-set""]",true,,,2,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
dragon-blurry-butterfly-dragon,Dragon Blurry Butterfly Dragon,Dragon Blurry Butterfly Dragon,#dragon_blurry_butterfly_dragon,stanford_only_unpublished,,,,,,missing,,,,D-1.-0-D,D-1.-0-D,"[""dragon-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""dragon-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-barfly,Ducking Barfly,Ducking Barfly,#ducking_barfly,stanford_only_unpublished,,,,,,missing,,,,X^+0+0-X,X^+0+0-X,"[""clipper-set"", ""duck"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-butterfly-swirl,Ducking Butterfly Swirl,Ducking Butterfly Swirl,#ducking_butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,Z^-0-6+X,Z^-0-6+X,"[""toe-set"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-dlo,Ducking DLO,Ducking DLO,#ducking_dlo,stanford_only_unpublished,,,,,,missing,,,,Z^-1-0+Z,Z^-1-0+Z,"[""toe-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-drifter,Ducking Drifter,Ducking Drifter,#ducking_drifter,stanford_only_unpublished,,,,,,missing,,,,Z^-1+X,Z^-1+X,"[""toe-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-eclipse,Ducking Eclipse,Ducking Eclipse,#ducking_eclipse,stanford_only_unpublished,,,,,,missing,,,,Z^-!L-0_,Z^-!L-0_,"[""toe-set"", ""duck"", ""opposite-side"", ""no-plant-while"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""plant""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-far-legover,Ducking Far Legover,Ducking Far Legover,#ducking_far_legover,stanford_only_unpublished,,,,,,missing,,,,X^+0+Z,X^+0+Z,"[""clipper-set"", ""duck"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-far-osis,Ducking Far Osis,Ducking Far Osis,#ducking_far_osis,stanford_only_unpublished,,,,,,missing,,,,X^\+X,X^\+X,"[""clipper-set"", ""duck"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-far-pickup,Ducking Far Pickup,Ducking Far Pickup,#ducking_far_pickup,stanford_only_unpublished,,,,,,missing,,,,X^+1+Z,X^+1+Z,"[""clipper-set"", ""duck"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-far-symposium-reverse-whirl,Ducking Far Symposium Reverse Whirl,Ducking Far Symposium Reverse Whirl,#ducking_far_symposium_reverse_whirl,stanford_only_unpublished,,,,,,missing,,,,X^+!0-X,X^+!0-X,"[""clipper-set"", ""duck"", ""same-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-guay,Ducking Guay,Ducking Guay,#ducking_guay,stanford_only_unpublished,,,,,,missing,,,,Z^-1+L,Z^-1+L,"[""toe-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-illusion,Ducking Illusion,Ducking Illusion,#ducking_illusion,stanford_only_unpublished,,,,,,missing,,,,Z^-0-Z,Z^-0-Z,"[""toe-set"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
