"name","slug","governance_state","issue_type","sources","n_sources","source_adds","in_db","equivalent_to","doctrine_status","publication_status","parse_confidence","add_confidence","family","primary_operator","add_formula","parser_notes","unresolved_questions","provenance_notes"
"Surge","surge","1 Published Canonical","","footbagmoves","1","5","True","surge (live DB; SCALE-8 pilot flagship; Surging Paradox Mirage)","settled","first_class_ready","high","high","clip-spin-toe","surging","surging(+2) + paradox(+1) + mirage(2) --> 5 ADDs","","","FB.org 5-ADD confirms 'Surge' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL]'); ingested 2026-05-21."
"Surgery","surgery","1 Published Canonical","","footbagmoves","1","6","True","surgery (live DB; SCALE-8 flagship pilot; UNRESOLVED_COMPOUNDS)","hedged","observational","high","medium","clip-spin-whirl","surging","surging(+2) + symposium(+1) + reverse-whirl(3) --> 6 ADDs","","Surgery is an UNRESOLVED_COMPOUNDS member (curator-authored allow-list).","FB.org 6-ADD confirms 'Surgery' (source_adds=6; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > (no plant while) OP OUT [SYM] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"surging","surging","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Surreal","surreal","1 Published Canonical","","footbagmoves","1","6","True","surreal (live DB; SCALE-9 flagship pilot; UNRESOLVED_COMPOUNDS)","hedged","observational","high","medium","clip-spin-whirl","surging","surging(+2) + paradox(+1) + whirl(3) --> 6 ADDs","","Surreal is an UNRESOLVED_COMPOUNDS member (curator-authored allow-list).","FB.org 6-ADD confirms 'Surreal' (source_adds=6; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Swirl","swirl","1 Published Canonical","","footbagmoves","1","3","True","swirl (live DB; FIRST_CLASS_TIER_1; family-anchor)","settled","first_class_ready","none","high","no-notation","dex","dex(1) + xbody(1) + stall(1) --> 3 ADDs","Foundational rotational atom (reverse-rotation dex per DP-1 FAMILY_INVARIANTS: leggy xbd out dex > ss clipper).","","FB.org 3-ADD confirms 'Swirl' (source_adds=3; jobs_notation_raw='CLIP > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [xbd] [del]'); ingested 2026-05-21."
"symposium","symposium","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Symposium Mirage","symposium-mirage","1 Published Canonical","","fborg","1","3","True","symposium-mirage (live DB; FIRST_CLASS_TIER_2)","settled","first_class_ready","","high","","symposium","symposium(+1) + mirage(2) --> 3 ADDs","Symposium modifier on mirage base. No-plant-while qualifier per pt7 symposium semantics. First-class pilot member.","",""
"Symposium Whirl","symposium-whirl","1 Published Canonical","","fborg","1","4","True","","settled","first_class_ready","","high","","symposium","symposium(+1) + whirl(3) --> 4 ADDs","No-plant-while qualifier per pt7 symposium semantics.","",""
"Tap","tap","1 Published Canonical","","footbagmoves,passback","2","3","True","tap (live DB; Tapping Mirage)","settled","first_class_ready","high","high","toe-double-dex-toe","tapping","tapping(+1) + mirage(2) --> 3 ADDs","pt3 tapping = +1; Tap = Tapping Mirage.","","FB.org 3-ADD confirms 'Tap' (source_adds=3; jobs_notation_raw='TOE > OP OUT [DEX] (plant) > SAME IN [DEX] > OP TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"Tapdown","tapdown","1 Published Canonical","","footbagmoves","1","4","True","","","","high","","toe-double-dex-clip","","","","",""
"tapping","tapping","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"tapping whirl","tapping-whirl","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Terrage","terrage","1 Published Canonical","","footbagmoves","1","3","True","terrage (live DB; pt6 terraging = +3 modifier; standalone trick distinct from modifier)","hedged","observational","high","medium","toe-double-dex-toe","dex","dex(1) + dex(1) + stall(1) --> 3 ADDs (= double pixie)","pt6 ruled Terrage = 3 ADDs (standalone). Source equates to Double Pixie. Terraging is distinct +3 modifier per pt6.","","FB.org source parenthetical ""(Double Pixie)"" preserved as alternate name. | FB.org 3-ADD confirms 'Terrage' (source_adds=3; jobs_notation_raw='TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL].'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"terraging","terraging","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Toe Blur","toe-blur","2 Aliased Canonical","resolved as alias of quantum-mirage","passback","1","4","True (as alias of quantum-mirage)","quantum-mirage (Red pt2 EQUIVALENCE: Toe Blur = Quantum Mirage, 3 ADD)","settled","first_class_ready","none","high","no-notation","quantum","quantum(+1) + mirage(2) --> 3 ADDs","Red pt2: Toe Blur = Quantum Mirage (3 ADD). Blur polysemy: this 'blur' is the QUANTUM sense (toe-set blur = quantum mirage), distinct from the clipper-set 'blurry' = stepping+paradox sense. Both readings are historically real; not the same operator. Alias re-pointed 2026-05-25 from the quantum set primitive to quantum-mirage per Red pt2; prior wiring was incorrect (Red's pt2 unambiguously equated Toe Blur to the compound, not the set).","","FB.org parenthetical ""(Quantum Mirage)"" + Red pt2 ruling agree. | FB.org 3-ADD confirms 'Toe Blur' (source_adds=3; jobs_notation_raw='TOE > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"Toe Delay","toe-delay","1 Published Canonical","","fborg","1","1","True","toe-stall (live DB)","settled","first_class_ready","","high","","stall","stall(1) --> 1 ADD","Foundational stall surface; the default surface for sets and many stalls. Asterisk indicates video demonstration available.","",""
"toe stall","toe-stall","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Tomahawk","tomahawk","1 Published Canonical","","footbagmoves","1","5","True","tomahawk (live DB; UNRESOLVED_COMPOUNDS)","hedged","observational","medium","medium","clip-duck-clip","ducking","ducking(+1) + paradox(+1) + whirl(3) --> 5 ADDs","","Tomahawk is an UNRESOLVED_COMPOUNDS member (curator-authored allow-list).","FB.org 5-ADD confirms 'Tomahawk' (source_adds=5; jobs='CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Tombstone","tombstone","1 Published Canonical","","footbagmoves","1","4","True","tombstone (live DB; Stepping Drifter)","settled","first_class_ready","high","high","clip-double-dex-clip","stepping","stepping(+1) + drifter(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Tombstone' (source_adds=4; jobs='CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Torque","torque","1 Published Canonical","","footbagmoves","1","4","True","torque (live DB; pt11 = Miraging Osis; branch family-anchor)","settled","first_class_ready","high","high","clip-spin-clip","spinning","stepping(+1) + osis(3) --> 4 ADDs (= miraging osis per pt11)","pt11 Torque = Miraging Osis = 4 ADD. Branch family-anchor. Alt name ""Stepping Opposite Osis"" preserved.","","FB.org 4-ADD confirms 'Torque' (source_adds=4; jobs='CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [bod] [xbd] [del]'); ingested 2026-05-21."
"Tripwalk","tripwalk","1 Published Canonical","","footbagmoves","1","4","True","","","","high","","toe-walk-clip","","","","",""
"Venom","venom","1 Published Canonical","","footbagmoves","1","6","True","venom (live DB; SCALE-8 pilot; Surging Barfly)","settled","first_class_ready","high","high","clip-spin-clip","surging","surging(+2) + barfly(4) --> 6 ADDs","","","FB.org 6-ADD confirms 'Venom' (source_adds=6; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Vortex","vortex","1 Published Canonical","","footbagmoves","1","4","True","vortex (live DB; SCALE-9 pilot)","settled","first_class_ready","high","high","clip-spin-clip","gyro","gyro(+1) + drifter(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Vortex' (source_adds=4; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[bod] [dex] [xbd] [del]'); ingested 2026-05-21."
"Walk Over","walk-over","1 Published Canonical","","fborg","1","2","True","","settled","candidate","","high","","stall","stall(1) + dex(1) --> 2 ADDs","Ground-stall walk-over technique. Sibling to Hop Over.","Whether Walk Over is canonical or instructional.",""
"Whirl","whirl","1 Published Canonical","","footbagmoves","1","3","True","whirl (live DB; FIRST_CLASS_TIER_1; family-anchor)","settled","first_class_ready","high","high","set-single-dex-clip","dex","dex(1) + xbody(1) + stall(1) --> 3 ADDs","Foundational rotational atom; family-anchor per DP-1 FAMILY_INVARIANTS (leggy in dex > ss clipper).","","FB.org 3-ADD confirms 'Whirl' (source_adds=3; jobs_notation_raw='SET > OP IN [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [xbd] [del]'); ingested 2026-05-21."
"Whirling Swirl","whirling-swirl","1 Published Canonical","","footbagmoves","1","4","True","whirling-swirl (live DB; SCALE-9 pilot)","settled","first_class_ready","none","high","no-notation","spinning","whirling(+1) + swirl(3) --> 4 ADDs","Whirling modifier on swirl base.","","FB.org 4-ADD confirms 'Whirling Swirl' (source_adds=4; jobs='CLIP > OP IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Whirlwind","whirlwind","1 Published Canonical","","footbagmoves","1","6","True","whirlwind (live DB; Spinning Paradox Symposium Whirl)","settled","first_class_ready","high","high","clip-spin-whirl","spinning","spinning(+1) + paradox(+1) + symposium(+1) + whirl(3) --> 6 ADDs","","","FB.org 6-ADD confirms 'Whirlwind' (source_adds=6; jobs='CLIP > (back) SPIN [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Witchdoctor","witchdoctor","1 Published Canonical","","footbagmoves","1","4","True","witchdoctor (live DB; 5 ADD per R1 2026-05-20 ruling)","settled","first_class_ready","high","high","toe-xdex-toe","atomic","atomic(+2 rotational) + symposium(+1) + mirage(2) --> 5 ADDs (IFPA canonical)","Cross-source ADD divergence: FB.org=4, IFPA canonical=5 (per R1 2026-05-20: convergence-rule extension for composite-base reads). FB.org reading does not account for atomic-rotational +2 bonus on rotational base.","","FB.org reads witchdoctor as 4-ADD (atomic non-rotational); IFPA R1 2026-05-20 ruled 5-ADD (atomic-rotational + symposium on mirage rotational base). | FB.org 4-ADD confirms 'Witchdoctor' (source_adds=4; jobs='TOE > OP OUT [DEX] > (no plant while) OP IN [DEX] > OP TOE'; component_flags='[dex] [bod] [dex] [del]'); ingested 2026-05-21."
"Barroque","barroque","2 Covered via alias/equivalence","synonym drift / lexical-only variation","footbagmoves","1","5","False","barraging-osis (live DB; Baroque; Red 2026-05-20 = two-dex + osis = 5)","settled","first_class_ready","high","high","clip-spin-clip","dex","barraging(+2 two-dex) + osis(3) --> 5 ADDs (Red 2026-05-20)","Red 2026-05-20: Baroque (Barraging Osis) = two dexes + osis = 5. FB.org double-r spelling ""Barroque"" preserved; single-r ""Baroque"" is the alternate.","","FB.org 5-ADD confirms 'Barroque' (source_adds=5; jobs='CLIP > OP IN [DEX] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Clipper Kick","clipper-kick","1 Canonical published (represented by `clipper`; pre-Adrian polish 2026-05-25)","synonym drift / lexical-only variation","fborg","1","1","False","clipper (live DB; clipper-kick is already represented by the 1-ADD `clipper` row — description ""Body kick into clipper position""); operational_notation OP CLIP [XBD] added via RESOLVED_FORMULAS overlay 2026-05-25","settled","first_class_ready","","high","","xbody","cross-body(1) --> 1 ADD","Kick form; no closing stall. Sibling 2-add Clipper (CLIP [XBD] [DEL]) is the canonical compound.","","Document-only disposition 2026-05-21: represented by live-DB canonical slug `clipper`; not promoted (would duplicate), not aliased. Updated 2026-05-25: operationalNotation overlay added to `clipper`. See CLIPPER_KICK_NAMING_NOTE_2026-05-21.md."
"Da Da Curve","da-da-curve","2 Covered via alias/equivalence","synonym drift / lexical-only variation","fborg","1","4","False","dada-curve (live DB; SCALE-10 pilot)","settled","first_class_ready","","high","","dex","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","Sibling to ripwalk; no-plant-while differentiates from ripwalk.","",""
"69","69","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-xdex-clip","","","","",""
"84","84","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-clip","","","","",""
"Aeon Flux","aeon-flux","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-clip","","","","",""
"Alex Zerbe is the greatest","alex-zerbe-is-the-greatest","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-spin-clip","","","","",""
"Alpine Big Apple","alpine-big-apple","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","none","","no-notation","","","","",""
"Alpine Magellan","alpine-magellan","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Alpine Paste","alpine-paste","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3,4","False","","","","none","","no-notation","","","","",""
"Alpine Pigbeater","alpine-pigbeater","3 Observationally represented","accidental omission / awaiting curator review","passback","1","5","False","","","","none","","no-notation","","","","",""
"Alpine PLO","alpine-plo","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Alpine Smog","alpine-smog","3 Observationally represented","accidental omission / awaiting curator review","passback","1","5","False","","","","none","","no-notation","","","","",""
"Alpine Smudge","alpine-smudge","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Amadeus","amadeus","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-clip","","","","",""
"Anoxia","anoxia","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-spin-toe","","","","",""
"Apocalypse","apocalypse","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-multi-dex-toe","","","","",""
"Arachnophobia","arachnophobia","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-dive-toe","","","","",""
"Arch Nemesis","arch-nemesis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-multi-dex-clip","","","","",""
"Arcwalk","arcwalk","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","medium","","?-walk-clip","","","","",""
"Around the World Kick","around-the-world-kick","1 Canonical published (pre-Adrian promotion 2026-05-25)","accidental omission (publication-ready, not yet promoted)","fborg","1","1","False","","settled","first_class_ready","","high","","dex","dex(1) --> 1 ADD","1-add kick-only motion; no closing stall in this row. Sibling 2-add Around the World (TOE > SAME IN/OUT [DEX] > SAME TOE [DEL]) is the canonical compound.","","Promoted 2026-05-25 (pre-Adrian foundational-vocabulary slice) — canonical row added to red_additions_2026_04_20.csv; loader 19 ingested into freestyle_tricks; operationalNotation TOE > SAME IN [DEX] via RESOLVED_FORMULAS overlay."
"Atom Bomb","atom-bomb","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-xdex-toe","","","","",""
"Atomic DLO","atomic-dlo","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Atomic Drifter","atomic-drifter","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Atomic Eclipse","atomic-eclipse","1 Published Canonical","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","atomic","atomic(+1) + eclipse(3) --> 4 ADDs","Atomic modifier on eclipse base. Sibling to miraging-eclipse.","",""
"Atomic Illusion","atomic-illusion","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Atomic Legover (same side)","atomic-legover","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Atomic Osis","atomic-osis","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Atomic Pickup (same side)","atomic-pickup","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","3,5","False","","","","none","","no-notation","","","","",""
"Atomic ss Osis","atomic-ss-osis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Atomotion","atomotion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-spin-clip","","","","",""
"Avalanche","avalanche","1 Published Canonical","","footbagmoves","1","5","True","","settled","first_class_ready","high","high","clip-duck-toe","stepping","stepping(+1) + ducking(+1) + paradox-illusion(3) --> 5 ADDs","Promoted 2026-05-25 (pre-Adrian deferred-candidate slice); JOB FB.org-confirmed; folk-name compression of stepping ducking paradox illusion (3-operator-stack reading wired as alias). Structural twin of spike-hammer.","","FB.org 5-ADD confirms 'Avalanche' (source_adds=5; jobs='CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]'); ingested 2026-05-21."
"Backside Symposium Smear","backside-symposium-smear","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","pixie","pixie(+1) + symposium-mirage(3) --> 4 ADDs","Alt name ""Pixie Symposium Mirage"" preserved.","",""
"Backside Symposium Toe Blizzard","backside-symposium-toe-blizzard","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","quantum","quantum(+1) + symposium-illusion(3) --> 4 ADDs","","",""
"Barfly Swirl","barfly-swirl","1 Published Canonical","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","dex","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","","",""
"Barfry","barfry","1 Published Canonical","FM asserts 4 vs platform 5 (nuclear 2 + butterfly 3, matching the shipped far twin matador at 5); promoted at 5, divergence preserved","footbagmoves","1","4","True","barfry (live DB)","settled","first_class_ready","high","","clip-double-dex-clip","","","","",""
"Bedwetter","bedwetter","1 Published Canonical","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","5","False","","settled","first_class_ready","high","high","clip-multi-dex-toe","stepping","stepping(+1) + paradox(+1) + eggbeater(3) --> 5 ADDs","","","FB.org 5-ADD confirms 'Bedwetter' (source_adds=5; jobs='CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL]'); ingested 2026-05-21."
"Big Apple Sauce","big-apple-sauce","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","9","False","","","","high","","clip-spin-clip","","","","",""
"Big Papa Smurf","big-papa-smurf","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-spin-whirl","","","","",""
"Bill & Ted`s Bogus Journey","bill-&-ted`s-bogus-journey","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-toe","","","","",""
"Bill & Ted`s Excellent Adventure","bill-&-ted`s-excellent-adventure","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-multi-dex-toe","","","","",""
"Blacula","blacula","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-to-clip","","","","",""
"Bladerunner","bladerunner","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves,passback","2","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"Blaze","blaze","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-front-whirl-toe","","","","",""
"Blazing Butterfly","blazing-butterfly","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Bling Blang","bling-blang","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-front-whirl-clip","","","","",""
"Blink","blink","3 Observationally represented","accidental omission / awaiting curator review","passback","1","2","False","","","","none","","no-notation","","","","",""
"Blister","blister","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-spin-whirl","","","","",""
"Blizzard","blizzard","1 Published Canonical","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","4","False","blizzard (live DB; pt10 = Quantum Illusion via toe-blizzard convergence)","settled","first_class_ready","high","high","clip-double-dex-toe","stepping","stepping(+1) + paradox(+1) + illusion(2) --> 4 ADDs","pt10 Quantum Illusion convergence; Blizzard = Stepping Paradox Illusion at clipper-set entry.","","FB.org 4-ADD confirms 'Blizzard' (source_adds=4; jobs='CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP TOE [DEL]'; component_flags='[dex] [pdx] [dex] [del]'); ingested 2026-05-21."
"Blue Widow","blue-widow","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-spin-whirl","","","","",""
"Boulderbeater","boulderbeater","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"BS Magellan","bs-magellan","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3","False","","","","none","","no-notation","","","","",""
"BS Paste","bs-paste","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3","False","","","","none","","no-notation","","","","",""
"Bubba","bubba","1 Published Canonical","accidental omission (publication-ready, not yet promoted)","fborg","1","2","False","","settled","first_class_ready","","high","","dex","dex(1) + stall(1) --> 2 ADDs","Folk name (Bubba) with explicit Jobs notation in source. Reads as a clipper-set illusion variant.","","source explicitly notes parenthetical alt-name: ""Clipper set Illusion"""
"Bubba Beater","bubba-beater","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","high","","clip-double-dex-toe","","","","",""
"Butterfly Swirl","butterfly-swirl","1 Published Canonical","accidental omission (publication-ready, not yet promoted)","footbagmoves,passback","2","4","False","","settled","first_class_ready","none","high","no-notation","dex","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","Butterfly base with swirl finish.","","FB.org 4-ADD confirms 'Butterfly Swirl' (source_adds=4; jobs='SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Buttersole","buttersole","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","unusual-surface-set-to-flapper","","","","",""
"Carousel","carousel","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","9","False","","","","none","","no-notation","","","","",""
"Cascade","cascade","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-duck-toe","","","","",""
"Casket","casket","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-double-dex-clip","","","","",""
"Cataclysm","cataclysm","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-toe","","","","",""
"Catacomb","catacomb","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-double-dex-clip","","","","",""
"Chainsaw Massacre","chainsaw-massacre","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-multi-dex-toe","","","","",""
"Clown Face","clown-face","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-multi-dex-toe","","","","",""
"Cold Fusion","cold-fusion","1 Published Canonical","FM asserts 7 vs the two convergent 6-ADD readings (nuclear+DD / paradox+fusion); promoted at 6, divergence preserved","footbagmoves","1","7","True","cold-fusion (live DB)","settled","first_class_ready","high","","clip-multi-dex-clip","","","","",""
"Colossus","colossus","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-spin-whirl","","","","",""
"Compound Fracture","compound-fracture","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-toe","","","","",""
"Conniption City","conniption-city","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-xdex-toe","","","","",""
"Cristal","cristal","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-duck-whirl","","","","",""
"Croissant","croissant","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-front-whirl-clip","","","","",""
"Croxton","croxton","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-front-whirl-toe","","","","",""
"Cyborg","cyborg","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-duck-clip","","","","",""
"Cyclone","cyclone","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-toe","","","","",""
"Dark Avenue","dark-avenue","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-dive-clip","","","","",""
"Darkwalk","darkwalk","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-dive-clip","","","","",""
"DDD","ddd","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Dellusion","dellusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-xdex-toe","","","","",""
"Desien","desien","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-clip","","","","",""
"Diving Butterfly","diving-butterfly","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Diving Clipper","diving-clipper","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3","False","","","","none","","no-notation","","","","",""
"Diving Mirage","diving-mirage","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3","False","","","","none","","no-notation","","","","",""
"Diving Osis","diving-osis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","4","False","","","","none","","no-notation","","","","",""
"Diving Smudge","diving-smudge","3 Observationally represented","accidental omission / awaiting curator review","passback","1","6","False","","","","none","","no-notation","","","","",""
"Dolomite","dolomite","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-to-clip","","","","",""
"Dominatrix","dominatrix","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"Dorshanatrix","dorshanatrix","1 Published Canonical","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-multi-dex-toe","","","","",""
"Dorshatrix","dorshatrix","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-toe","","","","",""
"Double Dyno","double-dyno","3 Observationally represented","accidental omission / awaiting curator review","passback","1","5","False","","","","none","","no-notation","","","","",""
