"name","slug","source_corpus","ecosystem","deferral_bucket","failure_class","doctrine_confidence","reason"
"Pixie Spinning PS Whirl (Blue Widow)","pixie-spinning-ps-whirl-blue-widow","stanford","pixie","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pixie Spinning Whirl (Slapstick)","pixie-spinning-whirl-slapstick","stanford","pixie","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pixie ss Barrage","pixie-ss-barrage","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-barrage' — collapse, not a new trick"
"Pixie ss Blender","pixie-ss-blender","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-blender' — collapse, not a new trick"
"Pixie ss Butterfly Swirl (Park Walk Swirl)","pixie-ss-butterfly-swirl-park-walk-swirl","stanford","pixie","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pixie ss DLO","pixie-ss-dlo","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-double-leg-over' — collapse, not a new trick"
"Pixie ss Double Over Down","pixie-ss-double-over-down","footbagmoves","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-double-over-down' — collapse, not a new trick"
"Pixie ss Drifter (Catacomb)","pixie-ss-drifter-catacomb","stanford","pixie","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pixie ss Dyno","pixie-ss-dyno","footbagmoves","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-dyno' — collapse, not a new trick"
"Pixie ss Dyno (Majello)","pixie-ss-dyno-majello","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-dyno' — collapse, not a new trick"
"Pixie ss Eggbeater","pixie-ss-eggbeater","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-eggbeater' — collapse, not a new trick"
"Pixie ss Flail","pixie-ss-flail","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-flail' — collapse, not a new trick"
"Pixie ss Legover (Magellan)","pixie-ss-legover-magellan","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-legover' — collapse, not a new trick"
"Pixie ss Osis","pixie-ss-osis","footbagmoves","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-osis' — collapse, not a new trick"
"Pixie ss Osis (Maverick)","pixie-ss-osis-maverick","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-osis' — collapse, not a new trick"
"Pixie ss Pickup","pixie-ss-pickup","passback","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-pickup' — collapse, not a new trick"
"Pixie ss Swirl","pixie-ss-swirl","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-swirl' — collapse, not a new trick"
"Pixie ss Symposium Eggbeater","pixie-ss-symposium-eggbeater","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-symposium-eggbeater' — collapse, not a new trick"
"Pixie ss Symposium Mirage","pixie-ss-symposium-mirage","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-symposium-mirage' — collapse, not a new trick"
"Pixie ss Torque","pixie-ss-torque","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-torque' — collapse, not a new trick"
"Pixie ss Whirl","pixie-ss-whirl","stanford","pixie","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pixie-whirl' — collapse, not a new trick"
"Pixie Symposium Whirling Swirl (Croissant)","pixie-symposium-whirling-swirl-croissant","stanford","pixie","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pixie Wonton Butterfly (Wookie)","pixie-wonton-butterfly-wookie","stanford","pixie","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pixie XBD Rake (Swerve)","pixie-xbd-rake-swerve","stanford","pixie","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"PLO (Pixie Legover) / Toe ss DLO","plo-pixie-legover-toe-ss-dlo","passback","pixie","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Triple Pixie (Trixie)","triple-pixie-trixie","stanford","pixie","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Backside Symposium Toe Blizzard (Quantum Symposium Illusion)","backside-symposium-toe-blizzard-quantum-symposium-illusion","fborg","quantum","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Quantum Butterfly Swirl (Triptide)","quantum-butterfly-swirl-triptide","stanford","quantum","alias-collapse","ambiguous-terminal-mechanic","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Quantum DLO (Toe Fog)","quantum-dlo-toe-fog","stanford","quantum","alias-collapse","ambiguous-terminal-mechanic","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Quantum DOD (Plasma)","quantum-dod-plasma","stanford","quantum","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'quantum-double-over-down' — collapse, not a new trick"
"Quantum far Butterfly","quantum-far-butterfly","passback","quantum","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'quantum-butterfly' — collapse, not a new trick"
"Quantum far Mirage","quantum-far-mirage","passback","quantum","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'quantum-mirage' — collapse, not a new trick"
"Quantum far Torque","quantum-far-torque","passback","quantum","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'quantum-torque' — collapse, not a new trick"
"Quantum Flail (Backside Toe Blizzard)","quantum-flail-backside-toe-blizzard","stanford","quantum","alias-collapse","parser-ambiguity","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Quantum near Butterfly","quantum-near-butterfly","passback","quantum","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'quantum-butterfly' — collapse, not a new trick"
"Toe Ripwalk (Quantum Butterfly)","toe-ripwalk-quantum-butterfly","fborg","quantum","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Blistering (Whirling Gyro)","blistering-whirling-gyro","fborg","spinning/gyro","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Blistering Whirl (Whirling Gyro Whirl)","blistering-whirl-whirling-gyro-whirl","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Butterfly Gyro Toe (Wauxpin)","butterfly-gyro-toe-wauxpin","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Spinning Double Down (Spinning Scorpion\u2019s Tail)","double-spinning-double-down-spinning-scorpion-u2019s-tail","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Da Da Curve (Amadeus)","gyro-da-da-curve-amadeus","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Diving Symposium Torque (Red Giant)","gyro-diving-symposium-torque-red-giant","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Diving Symposium Whirl (Colossus)","gyro-diving-symposium-whirl-colossus","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Double Down (Bullwhip)","gyro-double-down-bullwhip","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Shaft (Symposium Bullwhip)","gyro-shaft-symposium-bullwhip","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Symp Swirl","gyro-symp-swirl","passback","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'gyro-symposium-swirl' — collapse, not a new trick"
"Gyro Symposium DLO (Supernova)","gyro-symposium-dlo-supernova","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Symposium Mirage (Little Apple)","gyro-symposium-mirage-little-apple","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Symposium Torque Screw (Moirius)","gyro-symposium-torque-screw-moirius","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Torque (Mobius)","gyro-torque-mobius","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Gyro Torque Screw (Moby Dick)","gyro-torque-screw-moby-dick","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Inspinning Same Side Butterfly","inspinning-same-side-butterfly","fborg","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'inspinning-butterfly' — collapse, not a new trick"
"Inspinning Same Side Illusion","inspinning-same-side-illusion","fborg","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'inspinning-illusion' — collapse, not a new trick"
"Inspinning Same Side Mirage","inspinning-same-side-mirage","fborg","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'inspinning-mirage' — collapse, not a new trick"
"Inward Gyro Torque (Inward Mobius)","inward-gyro-torque-inward-mobius","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging Gyro Toe (Jughandle)","miraging-gyro-toe-jughandle","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pandora (Spyro Pickup)","pandora-spyro-pickup","fborg","spinning/gyro","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paralax (Spyro Legover)","paralax-spyro-legover","fborg","spinning/gyro","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Peeking (double spinning)","peeking-double-spinning","fborg","spinning/gyro","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Sonic (double spinning)","sonic-double-spinning","fborg","spinning/gyro","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning DLO","spinning-dlo","stanford","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-double-leg-over' — collapse, not a new trick"
"Spinning Double Down (Scorpion\u2019s Tail)","spinning-double-down-scorpion-u2019s-tail","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Double Down Swirl (Scorpion\u2019s Tail Swirl)","spinning-double-down-swirl-scorpion-u2019s-tail-swirl","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Spinning far Blender","spinning-far-blender","passback","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-blender' — collapse, not a new trick"
"Spinning far Drifter","spinning-far-drifter","passback","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-drifter' — collapse, not a new trick"
"Spinning Miraging Symposium Miraging Refraction (Anonymous)","spinning-miraging-symposium-miraging-refraction-anonymous","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Miraging Symposium Torque (Big Apple Sauce)","spinning-miraging-symposium-torque-big-apple-sauce","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Motion (Motion Sickness)","spinning-motion-motion-sickness","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning near Drifter","spinning-near-drifter","passback","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-drifter' — collapse, not a new trick"
"Spinning Pdx DLO","spinning-pdx-dlo","footbagmoves","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-paradox-double-leg-over' — collapse, not a new trick"
"Spinning Pdx Drifter","spinning-pdx-drifter","footbagmoves","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-paradox-drifter' — collapse, not a new trick"
"Spinning Pdx Illusion","spinning-pdx-illusion","footbagmoves","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-paradox-illusion' — collapse, not a new trick"
"Spinning Pdx Mirage","spinning-pdx-mirage","footbagmoves","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-paradox-mirage' — collapse, not a new trick"
"Spinning Pdx Whirl","spinning-pdx-whirl","footbagmoves","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-paradox-whirl' — collapse, not a new trick"
"Spinning PS Whirling Swirl (Swirlwind)","spinning-ps-whirling-swirl-swirlwind","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Super Fly (Super Duper Fly)","spinning-super-fly-super-duper-fly","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Symp Swirl","spinning-symp-swirl","passback","spinning/gyro","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-symposium-swirl' — collapse, not a new trick"
"Spinning Symposium Torque (Super Mario)","spinning-symposium-torque-super-mario","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spyro Gyro (Gyro Butterfly Swirl)","spyro-gyro-gyro-butterfly-swirl","fborg","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Toe Gyro Torque (Tobyus)","toe-gyro-torque-tobyus","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Toe Spinning Double Down (Scorpion’s Toe Nail)","toe-spinning-double-down-scorpions-toe-nail","stanford","spinning/gyro","alias-collapse","ambiguous-terminal-mechanic","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Twinspinning Mirage (Tornado)","twinspinning-mirage-tornado","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Whirling Gyro Mirage (Blister)","whirling-gyro-mirage-blister","stanford","spinning/gyro","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Wrecking Torque (Spinning Mobius)","wrecking-torque-spinning-mobius","stanford","spinning/gyro","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Go-Go (stepping backspinning)","go-go-stepping-backspinning","fborg","stepping","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"High Stepping Butterfly (Sunil Walk)","high-stepping-butterfly-sunil-walk","stanford","stepping","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Leaning (stepping inspinning)","leaning-stepping-inspinning","fborg","stepping","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging Pincher (Stepping op Squeeze)","miraging-pincher-stepping-op-squeeze","fborg","stepping","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Stepping Butterfly (Sidewalk)","stepping-butterfly-sidewalk","stanford","stepping","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Stepping Diving Butterfly (Jackknife)","stepping-diving-butterfly-jackknife","stanford","stepping","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Stepping Diving DLO (Arachnophobia)","stepping-diving-dlo-arachnophobia","stanford","stepping","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Stepping Ducking DLO","stepping-ducking-dlo","footbagmoves","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-ducking-double-leg-over' — collapse, not a new trick"
"Stepping Ducking Far Butterfly","stepping-ducking-far-butterfly","footbagmoves","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-ducking-butterfly' — collapse, not a new trick"
"Stepping Far Butterfly Swirl","stepping-far-butterfly-swirl","multi","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-butterfly-swirl' — collapse, not a new trick"
"Stepping Far Dyno","stepping-far-dyno","multi","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-dyno' — collapse, not a new trick"
"Stepping far Eggbeater","stepping-far-eggbeater","passback","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-eggbeater' — collapse, not a new trick"
"Stepping far Swirl","stepping-far-swirl","passback","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-swirl' — collapse, not a new trick"
"Stepping Legover (Schmoe)","stepping-legover-schmoe","stanford","stepping","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Stepping near Butterfly Swirl","stepping-near-butterfly-swirl","passback","stepping","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'stepping-butterfly-swirl' — collapse, not a new trick"
"Torch-r Rack torture rack (Stepping Superfly)","torch-r-rack-torture-rack-stepping-superfly","fborg","stepping","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Clipper far (downtime) Miraging Symp. Mirage","clipper-far-downtime-miraging-symp-mirage","passback","symposium/paradox","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'clipper' — collapse, not a new trick"
"Diving Symposium Whirl (Symposium Hatchet)","diving-symposium-whirl-symposium-hatchet","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Far Symposium Reverse Whirl","far-symposium-reverse-whirl","stanford","symposium/paradox","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-reverse-whirl' — collapse, not a new trick"
"Flailing (Symposium Reverse Miraging)","flailing-symposium-reverse-miraging","fborg","symposium/paradox","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flailing ss Symposium Mirage (Stampede)","flailing-ss-symposium-mirage-stampede","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flailing ss Symposium Reverse Whirl (Gromitron)","flailing-ss-symposium-reverse-whirl-gromitron","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging Symposium Butterfly (Da Da Curve)","miraging-symposium-butterfly-da-da-curve","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paradox Drifter XBD Rake (Snowflake)","paradox-drifter-xbd-rake-snowflake","stanford","symposium/paradox","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paradox Miraging Symposium Eggbeater (Armageddon)","paradox-miraging-symposium-eggbeater-armageddon","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paradox Miraging Symposium Mirage (Voodoo)","paradox-miraging-symposium-mirage-voodoo","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paradox Symposium Torque (PS Torque)","paradox-symposium-torque-ps-torque","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paratoxic (Paradox Miraging Symposium Whirl)","paratoxic-paradox-miraging-symposium-whirl","fborg","symposium/paradox","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Quasi Butterfly (Paradox Ripwalk)","quasi-butterfly-paradox-ripwalk","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Quasi Illusion (Paradox Blizzard)","quasi-illusion-paradox-blizzard","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Quasi Mirage (Paradox Blur)","quasi-mirage-paradox-blur","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Quasi Symposium Whirl (Paratoxic)","quasi-symposium-whirl-paratoxic","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surging Symposium Torque (Chilly Philly Sauce)","surging-symposium-torque-chilly-philly-sauce","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symposium Bubba Butterfly (Gaywalk)","symposium-bubba-butterfly-gaywalk","stanford","symposium/paradox","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symposium DDD (Shaft)","symposium-ddd-shaft","stanford","symposium/paradox","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symposium DLO (Nova)","symposium-dlo-nova","stanford","symposium/paradox","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-double-leg-over' — collapse, not a new trick"
"Symposium DOD (Blacula)","symposium-dod-blacula","stanford","symposium/paradox","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-double-over-down' — collapse, not a new trick"
"Symposium Scattered Swirl (Double Helix)","symposium-scattered-swirl-double-helix","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symposium Whirling Flapper (Singularity)","symposium-whirling-flapper-singularity","stanford","symposium/paradox","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symposium Whirling Swirling Mirage (Croxton)","symposium-whirling-swirling-mirage-croxton","stanford","symposium/paradox","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Twisted (Dragon set Swirling Paradox)","twisted-dragon-set-swirling-paradox","fborg","symposium/paradox","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Voodoo (Paradox Symposium Blur)","voodoo-paradox-symposium-blur","fborg","symposium/paradox","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Warped Symposium Mirage (Warp Speed)","warped-symposium-mirage-warp-speed","stanford","symposium/paradox","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Blazing Whirl (Whirl Walk)","blazing-whirl-whirl-walk","stanford","whirl/osis/other","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Broken (clipper reverse whirl)","broken-clipper-reverse-whirl","fborg","whirl/osis/other","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Butterfly Dragon (Firefly)","butterfly-dragon-firefly","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Calf Stall w/ leg in ""Whirl"" position","calf-stall-w-leg-in-whirl-position","passback","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Crossbody Rake (XBD Rake)","crossbody-rake-xbd-rake","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"DDD/Down Double Down","ddd-down-double-down","passback","whirl/osis/other","alias-collapse","folk-name-opacity","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Diving Whirl (Hatchet)","diving-whirl-hatchet","stanford","whirl/osis/other","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"DLO (""dee-ell-oh""), Double Legover","dlo-dee-ell-oh-double-legover","passback","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'double-leg-over' — collapse, not a new trick"
"DOD Swirl","dod-swirl","stanford","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'double-over-down-swirl' — collapse, not a new trick"
"DOD/Double Over Down","dod-double-over-down","passback","whirl/osis/other","alias-collapse","folk-name-opacity","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Double Butterfly Dragon (Pteradon)","double-butterfly-dragon-pteradon","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Reverse Swirl (Revstein)","double-reverse-swirl-revstein","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Swirl (Ripstein)","double-swirl-ripstein","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Swirling Dragon (Dragon Stein)","double-swirling-dragon-dragon-stein","stanford","whirl/osis/other","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Whirl (Whirr)","double-whirl-whirr","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Whirling Swirl (Whirring Swirl)","double-whirling-swirl-whirring-swirl","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"DSO (Double Switchover)","dso-double-switchover","passback","whirl/osis/other","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Far Double Over Down","far-double-over-down","footbagmoves","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'double-over-down' — collapse, not a new trick"
"Far Swirl","far-swirl","stanford","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'swirl' — collapse, not a new trick"
"Flapper Reverse Swirling Flapper (Capuchin)","flapper-reverse-swirling-flapper-capuchin","stanford","whirl/osis/other","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Hopover Spitfire (Furnace)","hopover-spitfire-furnace","stanford","whirl/osis/other","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Leaning Torque (Timberwulff)","leaning-torque-timberwulff","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging Dragon (Dragster)","miraging-dragon-dragster","stanford","whirl/osis/other","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging Swirl (Swifter)","miraging-swirl-swifter","stanford","whirl/osis/other","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Neutron DLO (Cataclysm)","neutron-dlo-cataclysm","stanford","whirl/osis/other","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Neutron Torque (Irish Cream)","neutron-torque-irish-cream","stanford","whirl/osis/other","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pdx DLO","pdx-dlo","footbagmoves","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'paradox-double-leg-over' — collapse, not a new trick"
"Pdx Symp Whirl","pdx-symp-whirl","passback","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'paradox-symposium-whirl' — collapse, not a new trick"
"Pdx Whirling Swirl","pdx-whirling-swirl","footbagmoves","whirl/osis/other","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'paradox-whirling-swirl' — collapse, not a new trick"
